origin,2018_week_origin_mean_dep_delay,2018_week_origin_std_dep_delay,2018_week_origin_skew_dep_delay,2018_month_origin_mean_dep_delay,2018_month_origin_std_dep_delay,2018_month_origin_skew_dep_delay,2019_week_origin_mean_dep_delay,2019_week_origin_std_dep_delay,2019_week_origin_skew_dep_delay,2019_month_origin_mean_dep_delay,2019_month_origin_std_dep_delay,2019_month_origin_skew_dep_delay
HDN,6.361702127659575,31.40332530294142,2.9313297808761134,2.7865497076023393,30.654608764433032,2.939807631252845,9.069767441860465,32.4906468704907,2.7648049546600384,5.636963696369637,28.472134978264833,2.6692419890891905
HGR,50.5,34.64823227814083,,20.88888888888889,26.553928355539245,0.9281702338265702,65.0,57.573141886357625,0.5900780417588154,43.0,45.02098276236192,1.3168949985095304
HHH,-3.6666666666666665,15.996211672730137,1.5299809184174433,-1.8857142857142857,26.960810451598807,4.18465506023646,-2.8125,11.582853707096538,2.744006996018176,0.13095238095238096,17.076567304035997,3.1352743571435484
HIB,7.4,22.525047786359472,1.5774077213833784,4.425531914893617,24.60889259636872,2.2371554212015092,-5.5,6.883958809354461,0.8531991844900013,-4.612244897959184,8.555739609882295,2.643371070368665
HLN,-0.11764705882352941,6.763380479318118,1.2539159676904856,-2.074829931972789,14.584702266779557,7.100824952503113,5.119047619047619,33.91898697071639,3.9959506148324864,2.01,27.30545438545165,4.244284358072705
HNL,0.7617554858934169,12.982595375698347,3.915881070491752,-0.25884161968221425,13.393656936506064,4.304805931809086,3.188785046728972,19.381885822973484,3.812933361447571,0.5498709223187045,16.517345076119735,4.64164281468026
HOB,-9.461538461538462,3.9288544686584452,-0.9455401799776726,-4.7407407407407405,22.974296700332584,5.596975017926567,-0.9230769230769231,17.202042216267706,2.260383344896492,-5.719298245614035,11.507380218744268,3.0172129117983206
HOU,9.323033707865168,18.84876806364645,2.8008946873428564,5.6047334660473345,17.921144002772333,3.4108966214135066,15.581900452488687,26.49939905678081,2.4305236535943298,6.752136752136752,20.762005679165913,3.309915630836451
HPN,28.466165413533833,41.33318955354644,1.4735362340943656,10.41235813366961,32.04782881775588,2.2978226639184856,7.205263157894737,30.09482322345517,3.0290667617524405,5.575654152445962,27.85458332252698,2.9131452618636056
HRL,6.32258064516129,19.92672988031147,2.435114769341111,3.550561797752809,23.57551197155198,4.16615256245594,9.202702702702704,31.108726578046614,3.299278094568891,1.2262996941896025,22.574026405751738,4.234556034840196
