dest,2018_week_dest_mean_arr_delay,2018_week_dest_std_arr_delay,2018_week_dest_skew_arr_delay,2018_month_dest_mean_arr_delay,2018_month_dest_std_arr_delay,2018_month_dest_skew_arr_delay,2019_week_dest_mean_arr_delay,2019_week_dest_std_arr_delay,2019_week_dest_skew_arr_delay,2019_month_dest_mean_arr_delay,2019_month_dest_std_arr_delay,2019_month_dest_skew_arr_delay
ABE,10.23076923076923,28.63606076303052,2.206325740755084,4.452127659574468,30.455087732500896,2.1456738721042763,-7.229166666666667,21.967669625427497,2.869597784532961,-0.7051282051282052,27.923743467026647,2.3897094327247808
ABI,11.631578947368421,33.38993298086374,1.6462320526230105,4.871951219512195,25.606784829381052,2.970702521619431,12.552631578947368,28.817878617669958,1.3011499643510098,3.1666666666666665,20.52825325342434,2.8811877233341363
ABQ,-0.14531548757170173,27.410004466828173,2.38484247965136,-2.983521657250471,24.72797290563198,2.515730108630782,4.1857707509881426,26.937277257333005,1.9715060997516587,0.18031968031968032,24.571041578565097,2.7432522233741414
ABR,-12.857142857142858,9.172342565117601,0.6065067603832287,-11.866666666666667,22.323861723722604,3.031870913739355,-12.214285714285714,23.032347057757946,2.164193293018243,-9.982758620689655,24.06314163277438,1.9311665927643502
ABY,-5.466666666666667,10.112698288126007,1.7243077653073828,-1.8227848101265822,22.879147091458346,3.9434959916454932,-8.6875,8.919781387455638,1.6279543063213726,-0.7439024390243902,19.98568066132693,3.475313585026005
ACT,20.96,35.04934616603663,1.202780302040646,4.796296296296297,23.98081759078708,1.99609286613787,-0.88,13.473183241783163,0.651430995471135,-3.1043478260869564,13.398333172741312,1.7418376685276238
ACV,13.08,44.787386617216235,1.678751210754415,4.302083333333333,34.495802884795516,2.3056692110106787,11.689655172413794,44.523752447650956,1.310735282522481,4.971698113207547,40.397891870308506,1.6708518388985785
ACY,1.7678571428571428,21.859876961667027,1.914496091737143,-1.8741496598639455,26.572480795412694,2.7899977281143107,-1.3571428571428572,20.327061789491097,2.6632285175416883,-3.218430034129693,24.158723181201943,2.963263474279363
ADK,-23.0,,,-31.0,6.782329983125269,-0.35532595644782666,15.5,28.991378028648448,,-24.88888888888889,25.68289530234298,2.0283859891890423
ADQ,-4.5,15.123565129367554,-0.44616674130651907,-9.625,16.235795755976582,1.4833966154324336,8.583333333333334,26.561963007049737,1.2844404844557993,6.169811320754717,35.266423260363396,2.717007075997259
AEX,7.0,32.58834147360064,2.117371232253702,-1.6071428571428572,24.324180674986586,2.6979369944418243,-0.6296296296296297,15.142463467356873,0.7588987843457666,-1.9565217391304348,22.309201758283226,2.971239404472631
AGS,3.032258064516129,21.067413335014127,1.6697401847935747,6.276762402088773,29.031697029668404,2.3613405613828644,-4.294117647058823,16.780674492241534,4.292532109644194,-2.9483204134366927,20.379874661369524,3.946033914424438
ALB,10.50557620817844,31.954097303186668,2.043406228172822,2.0667189952904237,28.260061071342548,2.11863096737627,3.3432343234323434,31.35506463470034,2.268367670209456,4.753257328990228,33.32935881321921,2.0800350889758503
ALO,17.916666666666668,29.604847064238815,1.2600608768970942,8.892857142857142,25.929750250473838,1.7864309196031523,9.357142857142858,26.508655024515882,1.6505011875622333,11.319148936170214,29.006825570798455,0.975188477971933
ALW,8.263157894736842,32.837719005340254,3.6912601751998912,2.7625,22.38627730089139,3.325432281247562,1.85,11.141553326458379,0.5077528246971322,4.936507936507937,20.441792276602722,2.8664569177146717
AMA,0.45544554455445546,23.265220717833408,2.6003537355929662,-1.634090909090909,22.07556336841076,2.8798937593476817,4.435185185185185,25.637397169179355,2.8256394229720683,3.108050847457627,27.470404433856043,2.7220649881650374
ANC,-9.955223880597014,23.859639985426398,3.124356253355141,-10.904829545454545,21.72070643979716,2.4762353912733275,-5.312684365781711,25.42623950172139,2.645224084396554,-6.33382030679328,25.51287434605344,2.4564970558386703
APN,5.083333333333333,21.94811374514213,0.9390469961506506,-10.613636363636363,26.79744513081633,1.443874064253563,-21.7,17.91368192192772,-0.11506768823606432,-9.840909090909092,25.069153826424593,1.1945824019980968
ART,17.375,33.140124579470985,2.0017480159542558,-1.0444444444444445,37.141593662603924,2.164868609405276,0.9230769230769231,13.31954415174395,0.7568751651942016,3.619047619047619,22.629521384581647,2.8441712203102005
ASE,4.735042735042735,36.506661903040204,1.7496565168345386,-2.8666666666666667,33.2301426886357,2.1673796114014943,37.51111111111111,49.88926229223571,0.5853368665710496,12.920817369093232,41.6128344767927,1.398059043662717
ATL,-2.430004777830865,26.231014120691412,2.439397925232688,-3.238728979676055,26.848710358859787,2.5316466558907633,-6.737763807813201,20.80816486091303,2.520652623925102,-4.780171567022461,23.33932471573958,2.703336713757279
ATW,4.752688172043011,35.1885158866338,1.889517838187055,0.11981566820276497,33.81295410183743,2.043460165102689,-0.6637931034482759,34.916532515107534,1.547759771507633,6.164031620553359,38.35977124864673,1.5586461703865555
AUS,-1.0092506938020351,28.00409869956642,2.226340307751006,-4.0980735551663745,25.06870813714321,2.2078034107699835,1.6334208223972004,26.9731884021605,1.7381628470870003,-2.123955147808359,25.17115407374452,2.379865868640438
AVL,13.163934426229508,35.92608588758697,1.5148927773392924,9.244588744588745,31.779656294064864,1.9019269532000744,2.2115384615384617,27.739807105728534,2.851968422195598,2.34094616639478,28.043143181452795,2.6416539816581834
AVP,15.628205128205128,39.74369474597539,1.6883307028880081,4.922155688622754,32.42010165213625,1.9600958869522236,-5.833333333333333,21.4425988800092,2.3953391510034177,-0.11031175059952038,26.03201272820495,2.336779784936661
AZA,6.108108108108108,35.87968565569998,2.4465406292508987,1.742528735632184,33.37474566148244,2.239339105035169,15.868852459016393,34.22674774912427,1.8292825974386264,12.040358744394618,32.65671889305136,1.6535667824661684
AZO,15.296875,36.439852458842665,0.922526514142445,9.519031141868512,34.90503711106351,1.3726643349535803,1.1549295774647887,37.16205741164499,2.156106906140817,2.2568093385214008,33.65826947189075,1.731721004045624
BDL,13.44421052631579,35.44667569289261,1.8291086485827508,1.6810787671232876,29.415850318674572,2.2651246803679923,-2.463821892393321,24.470756560227738,2.7706877369562117,-0.38084827284652384,26.805440101827188,2.5531494689141696
BET,-2.9166666666666665,9.070013865212749,1.3645045453026634,-16.87142857142857,11.04919359451299,0.6338569187683273,17.53846153846154,43.14436113139117,2.339429966619617,-0.36923076923076925,32.39481499347602,3.2242868923226804
BFL,7.314285714285714,35.626139964069864,1.6511591468835873,1.3975903614457832,27.15787279527822,1.8375160907350723,6.146341463414634,34.040094723435885,1.9748416532887612,0.05142857142857143,29.185153793846005,2.538584056482634
BGM,2.3076923076923075,26.889851293082724,1.3510254819595697,0.41818181818181815,33.02675173198736,1.8081192881030457,-1.7333333333333334,33.796590416927025,1.024007151237743,-5.596153846153846,29.031598481779124,1.9155410234059396
BGR,14.0,40.50907931867098,1.5479843582734851,-0.11931818181818182,33.50243383752997,1.9163721537065155,-1.2769230769230768,26.647295648613486,1.9148339647090342,5.16554054054054,34.792503016418685,1.7225797705552934
BHM,5.355685131195335,26.762580056283582,1.7392869664167447,0.7041379310344827,26.227044912972755,2.1374448725329103,4.622282608695652,28.68016324418029,2.0379629225312224,2.0653391412570006,27.338523303341173,2.2377481135968242
BIL,-2.3125,26.72720376419186,2.4550967583004595,-4.573529411764706,24.709008897205468,2.13031625223691,-5.865979381443299,22.155054382869473,2.0562840181584576,-2.339950372208437,27.285136496440185,2.1341791619509594
BIS,8.886075949367088,34.2958423666074,1.7054689944769954,2.1104294478527605,31.871860004127452,1.955158950723034,-0.5,34.59601437342624,2.147511521011234,6.101298701298702,36.59324025942473,1.7551505937387106
BJI,-8.142857142857142,19.63065555101605,2.1232980490854154,-2.466666666666667,34.1573957381973,2.150365453915279,-18.666666666666668,9.87497602605452,0.20311116015613426,-8.280701754385966,31.648603211090254,2.737124942475679
BLI,-2.550724637681159,22.070432864357674,2.214586831397115,-5.013651877133106,19.371100614456097,2.2838064127759723,1.0394736842105263,24.836768866325958,3.254872890942542,2.6217228464419478,26.68225692505464,2.599649856484307
