tail_num,2018_week_tail_num_mean_arr_delay,2018_week_tail_num_std_arr_delay,2018_week_tail_num_skew_arr_delay,2018_month_tail_num_mean_arr_delay,2018_month_tail_num_std_arr_delay,2018_month_tail_num_skew_arr_delay,2019_week_tail_num_mean_arr_delay,2019_week_tail_num_std_arr_delay,2019_week_tail_num_skew_arr_delay,2019_month_tail_num_mean_arr_delay,2019_month_tail_num_std_arr_delay,2019_month_tail_num_skew_arr_delay
N737US,-2.52,21.979384280123348,1.9371138477923806,-2.52,21.979384280123348,1.9371138477923806,-6.380952380952381,10.452158583164486,1.4824097424344675,-5.846153846153846,19.473541537556454,2.1016326392764597
N738CB,0.675,29.260446304674133,2.2973798759432493,-3.841463414634146,19.817554040598143,2.452652321438091,4.78125,26.656397132105383,2.185137629770705,-2.6049382716049383,20.670847844664817,1.9473327482165703
N738EV,11.428571428571429,32.347444147214205,1.9797062826549634,9.05940594059406,43.22772762525882,1.3780359655830345,2.230769230769231,23.29575728952179,1.3148031235660518,2.230769230769231,23.29575728952179,1.3148031235660518
N738SK,13.3,28.432800388477997,1.4377838948761876,4.038709677419355,32.64863790062021,1.8611425225014058,17.428571428571427,45.81478701243419,1.0905008033636923,7.469798657718121,39.24241311542078,1.8613961642344974
N738US,8.142857142857142,25.59404120210298,1.2975059758470566,-4.894736842105263,24.165859635647656,2.8843586134059676,12.214285714285714,42.355949464348626,1.3541385834426365,2.007751937984496,29.34559595472521,1.9828826876896655
N739GB,-0.8333333333333334,20.773947881158886,1.4984711137633044,-0.42011834319526625,22.093035370692583,1.4528724203487267,1.0,31.744977393968796,3.0219621699535697,-2.2923976608187133,24.243541300842203,2.4778925158982013
N739YX,4.861111111111111,24.414460326123802,0.6122787419712763,2.1262135922330097,34.47695439771568,1.5504938508820572,7.75,27.40556909446152,0.39758467765483874,12.138461538461538,33.46008934551935,1.3740292416023459
N74007,19.666666666666668,29.670411748631555,-1.468091497396512,5.4,31.085366332086227,0.02490529472321437,-8.0,1.4142135623730951,,-7.0,2.0,0.0
N740EV,-5.4375,17.009678617383297,0.8188540899374683,-2.550561797752809,29.622630797459813,1.5396734644885246,7.766666666666667,38.95415814494788,2.188802849885953,16.06081081081081,42.63900458809146,1.4146542054873823
N740SK,29.875,52.87253951516428,0.820643090861156,5.054216867469879,34.502745788686774,2.0836558501193196,,,,17.914285714285715,49.087180205265426,1.137750895290908
N740SW,6.361702127659575,31.53081690078902,3.0166022922473195,5.607954545454546,28.87806373244344,2.2193395329088523,5.780487804878049,21.74225401737588,0.5982503191990741,1.6932515337423313,26.832661893679834,1.881804825679035
N740UW,-6.384615384615385,14.454171609714509,0.671451958204763,-3.9381443298969074,21.62984744946865,2.943651891426142,4.2727272727272725,35.97418582059287,2.687830528032178,-0.6724137931034483,28.894042070406435,2.7769717611092695
N740YX,3.7837837837837838,29.224357359282738,3.255280835943608,-3.591240875912409,24.576278239908007,2.0900109348442886,-0.5666666666666667,21.95557164905486,0.7592154614941123,3.5317460317460316,35.32244306566271,1.9451081852964418
N741EV,6.65625,22.910216589843674,1.1018357708895687,6.717171717171717,29.91417669649954,1.5795611006748034,,,,,,
