tail_num,frequency,relative_frequency
N900WN,4078,0.0002568298604830669
N7721E,4078,0.0002568298604830669
N7825A,4078,0.0002568298604830669
N429WN,4078,0.0002568298604830669
N758SW,4076,0.00025670390174815607
N569WN,4075,0.0002566409223807007
N212WN,4074,0.0002565779430132453
N253PS,4073,0.0002565149636457899
N900AE,4073,0.0002565149636457899
N656AE,4072,0.00025645198427833455
N272WN,4072,0.00025645198427833455
N424WN,4071,0.00025638900491087915
N629AE,4071,0.00025638900491087915
N476WN,4071,0.00025638900491087915
N437WN,4070,0.0002563260255434238
N8884E,4070,0.0002563260255434238
N7726A,4070,0.0002563260255434238
N567WN,4069,0.0002562630461759684
N689EC,4069,0.0002562630461759684
N226WN,4066,0.0002560741080736022
N7860A,4066,0.0002560741080736022
N455WN,4065,0.0002560111287061468
N788SA,4064,0.00025594814933869146
N461WN,4064,0.00025594814933869146
N669MB,4064,0.00025594814933869146
N914WN,4063,0.00025588516997123605
N620AE,4062,0.0002558221906037807
N237PS,4060,0.0002556962318688699
N661JA,4060,0.0002556962318688699
N481WN,4059,0.00025563325250141454
N240WN,4059,0.00025563325250141454
N7882B,4058,0.00025557027313395913
N905WN,4058,0.00025557027313395913
N706SW,4058,0.00025557027313395913
N409WN,4057,0.0002555072937665037
N600BP,4057,0.0002555072937665037
N258PS,4056,0.00025544431439904837
N668HH,4055,0.00025538133503159296
N920WN,4054,0.00025531835566413756
N628AE,4054,0.00025531835566413756
N634AE,4053,0.0002552553762966822
N710PS,4053,0.0002552553762966822
N916WN,4052,0.0002551923969292268
N430WN,4051,0.00025512941756177144
N431WN,4051,0.00025512941756177144
N296WN,4050,0.00025506643819431604
N626AE,4049,0.00025500345882686063
N928AE,4049,0.00025500345882686063
N909AE,4048,0.0002549404794594053
N274WN,4048,0.0002549404794594053
N256PS,4048,0.0002549404794594053
N294WN,4047,0.00025487750009194987
N423WN,4047,0.00025487750009194987
N275WN,4046,0.00025481452072449447
N422WN,4046,0.00025481452072449447
N7853B,4046,0.00025481452072449447
N458WN,4045,0.0002547515413570391
N447WN,4045,0.0002547515413570391
N7829B,4045,0.0002547515413570391
N692AE,4043,0.00025462558262212835
N450WN,4042,0.00025456260325467295
N680AE,4041,0.00025449962388721754
N256WN,4041,0.00025449962388721754
N738CB,4040,0.0002544366445197622
N723SW,4040,0.0002544366445197622
N420WN,4040,0.0002544366445197622
N247JS,4040,0.0002544366445197622
N922AE,4039,0.0002543736651523068
N222WN,4039,0.0002543736651523068
N447SW,4038,0.0002543106857848514
N268WN,4037,0.000254247706417396
N736SA,4037,0.000254247706417396
N672AE,4035,0.00025412174768248526
N459WN,4035,0.00025412174768248526
N211WN,4034,0.00025405876831502986
N267WN,4033,0.00025399578894757445
N287WN,4033,0.00025399578894757445
N7732A,4033,0.00025399578894757445
N297WN,4033,0.00025399578894757445
N739GB,4032,0.0002539328095801191
N773SA,4032,0.0002539328095801191
N7841A,4032,0.0002539328095801191
N413WN,4031,0.0002538698302126637
N677AE,4030,0.0002538068508452083
N526EA,4030,0.0002538068508452083
N7839A,4028,0.0002536808921102975
N8933B,4028,0.0002536808921102975
N917WN,4028,0.0002536808921102975
N754SW,4027,0.0002536179127428421
N7842A,4027,0.0002536179127428421
N473WN,4026,0.00025355493337538676
N273WN,4026,0.00025355493337538676
N291WN,4023,0.0002533659952730206
N452WN,4022,0.0002533030159055652
N7881A,4020,0.00025317705717065443
N882AS,4020,0.00025317705717065443
N663AR,4020,0.00025317705717065443
N269WN,4019,0.000253114077803199
N702BR,4018,0.0002530510984357437
N255WN,4018,0.0002530510984357437
N7878A,4018,0.0002530510984357437
N7835A,4017,0.00025298811906828827
N939AE,4016,0.0002529251397008329
N443WN,4016,0.0002529251397008329
N797MX,4014,0.0002527991809659221
N7844A,4014,0.0002527991809659221
N295WN,4014,0.0002527991809659221
N709SK,4014,0.0002527991809659221
N919WN,4013,0.00025273620159846675
N516AE,4013,0.00025273620159846675
N7836A,4013,0.00025273620159846675
N770SA,4013,0.00025273620159846675
N288WN,4011,0.00025261024286355594
N270WN,4010,0.0002525472634961006
N276WN,4009,0.0002524842841286452
N407WN,4009,0.0002524842841286452
N7859B,4009,0.0002524842841286452
N931AE,4008,0.00025242130476118977
N402WN,4007,0.0002523583253937344
N983SW,4007,0.0002523583253937344
N786SW,4007,0.0002523583253937344
N771SA,4007,0.0002523583253937344
N260WN,4006,0.000252295346026279
N512AE,4006,0.000252295346026279
N760SW,4006,0.000252295346026279
N483WN,4004,0.00025216938729136825
N237WN,4004,0.00025216938729136825
N956SW,4003,0.00025210640792391284
N904WN,4003,0.00025210640792391284
N793SA,4003,0.00025210640792391284
N263WN,4001,0.0002519804491890021
N546FF,4001,0.0002519804491890021
N774SW,4000,0.0002519174698215467
N820AE,3999,0.0002518544904540913
N293WN,3999,0.0002518544904540913
N748SW,3999,0.0002518544904540913
N915WN,3997,0.00025172853171918057
N698CB,3997,0.00025172853171918057
N7843A,3997,0.00025172853171918057
N421LV,3996,0.00025166555235172516
N515AE,3996,0.00025166555235172516
N789SW,3995,0.00025160257298426975
N437QX,3995,0.00025160257298426975
N643AE,3995,0.00025160257298426975
N259PS,3994,0.0002515395936168144
N206PS,3993,0.000251476614249359
N915SW,3993,0.000251476614249359
N7739A,3992,0.0002514136348819036
N561WN,3991,0.00025135065551444823
N257WN,3990,0.00025128767614699283
N7877H,3990,0.00025128767614699283
N782SA,3990,0.00025128767614699283
N959SW,3989,0.0002512246967795375
N489WN,3989,0.0002512246967795375
N703PS,3988,0.00025116171741208207
N695AE,3988,0.00025116171741208207
N688AE,3988,0.00025116171741208207
N780SW,3987,0.00025109873804462666
N462WN,3987,0.00025109873804462666
N779SW,3987,0.00025109873804462666
N486WN,3984,0.0002509097999422605
N794SW,3984,0.0002509097999422605
N701GS,3984,0.0002509097999422605
N653AE,3983,0.00025084682057480514
N906AE,3983,0.00025084682057480514
N790SW,3982,0.00025078384120734974
N769SW,3982,0.00025078384120734974
N435WN,3982,0.00025078384120734974
N712PS,3981,0.00025072086183989433
N920EV,3981,0.00025072086183989433
N651AE,3981,0.00025072086183989433
N654AE,3981,0.00025072086183989433
N401WN,3980,0.000250657882472439
N480WN,3980,0.000250657882472439
N741SA,3979,0.00025059490310498357
N633AE,3979,0.00025059490310498357
N496CA,3977,0.0002504689443700728
N970SW,3976,0.0002504059650026174
N411WN,3975,0.00025034298563516205
N936SW,3975,0.00025034298563516205
N939SW,3975,0.00025034298563516205
N252WN,3975,0.00025034298563516205
