origin_city_market_id,frequency,relative_frequency
31703,108074,0.04597921205600348
30977,90921,0.038681606485777266
32575,73958,0.03146483488385648
32467,69668,0.029639688967907637
30397,65727,0.027963022288477715
30852,65140,0.02771328787060779
30325,57337,0.02439356442488546
30194,56024,0.02383495915970112
32457,55940,0.02379922203687135
31453,55224,0.023494605608941427
31295,47909,0.02038249782918251
31650,43271,0.018409298118653203
30559,36949,0.015719654183774752
30466,35592,0.015142329473298625
31057,35573,0.015134246076468082
30721,34387,0.014629671937466842
34100,31982,0.013606484075495523
31454,30339,0.01290748297062281
32211,29717,0.012642858084907149
33244,28463,0.012109353894091335
34614,25646,0.010910883953478775
30299,24866,0.010579039241488076
33195,22971,0.00977282676812606
30113,21365,0.009089567014975982
33044,19864,0.008450978665363113
33105,19817,0.00843098289425598
32337,18934,0.008055317662604972
34057,17616,0.007494585187728383
30693,15845,0.006741127514734118
31123,15748,0.006699859646704506
36106,15418,0.006559463807016133
33570,15115,0.006430554899665901
30647,15065,0.00640928280274342
34492,14827,0.006308027621392412
30423,14762,0.006280373895393187
33198,13786,0.005865142563466365
30198,13687,0.005823023811559853
33495,13278,0.005649018058733962
31066,12104,0.005149549222994116
33214,11740,0.004994688357398457
31517,11307,0.004810471998049774
32134,11103,0.004723681842606053
34819,10360,0.00440757848233799
33342,10143,0.004315257581694425
31714,9288,0.003951504724320006
33192,9063,0.0038557802881688426
33873,8876,0.003776222645678765
30529,8639,0.0036753929062662066
30730,7941,0.003378434433228377
31032,7899,0.003360565871813493
33316,7734,0.003290367951969307
31136,7641,0.003250801851693493
33970,7606,0.0032359113838477563
34761,7519,0.00319889793520264
33252,7164,0.0030478660470530275
30792,7119,0.003028721159822795
33667,6884,0.0029287423042871357
31215,6781,0.0028849217846268257
30140,6718,0.0028581189425045
34027,6598,0.0028070659098905467
33851,6575,0.0027972807453062053
34524,6305,0.0026824114219248098
36083,5953,0.0025326558595905463
32523,5933,0.0025241470208215537
31986,5685,0.0024186374200860497
30994,5685,0.0024186374200860497
34653,5362,0.0022812196739668248
35096,5355,0.0022782415803976777
31423,5314,0.0022607984609212435
30615,5292,0.002251438738275352
30304,5059,0.002152310766616592
30713,5049,0.002148056347232096
30863,5047,0.0021472054633551968
30920,4819,0.002050204701388685
31995,4805,0.0020442485142503903
31884,4799,0.0020416958626196927
31874,4729,0.00201191492692822
33485,4728,0.00201148948498977
31871,4718,0.0020072350656052743
32169,4705,0.002001704320405429
33038,4649,0.001977879571852251
30257,4639,0.0019736251524677547
34570,4606,0.0019595855684989174
34576,4550,0.001935760819945739
35412,4486,0.001908532535884964
35167,4399,0.0018715190872398476
34832,4382,0.0018642865742862042
31401,4382,0.0018642865742862042
30599,4379,0.0018630102484708552
30590,4310,0.001833654754717832
35478,4287,0.001823869590133491
30436,4104,0.0017460137153972118
34685,4011,0.0017064476151213977
34293,3908,0.0016626270954610877
31760,3814,0.0016226355532468239
31267,3808,0.0016200829016161263
30928,3786,0.0016107231789702348
33830,3717,0.0015813676852172115
34262,3660,0.0015571174947255836
32807,3634,0.0015460560043258937
31945,3612,0.0015366962816800022
31135,3556,0.0015128715331268238
34312,3524,0.0014992573910964362
33605,3489,0.0014843669232506998
31003,3478,0.001479687061927754
32070,3448,0.0014669238037742656
31336,3418,0.0014541605456207772
32016,3416,0.001453309661743878
30245,3402,0.0014473534746055833
32600,3400,0.0014465025907286842
31550,3393,0.001443524497159537
34321,3366,0.0014320375648213973
31973,3364,0.0014311866809444981
32945,3338,0.0014201251905448082
30292,3325,0.0014145944453449633
30070,3265,0.0013890679290379864
31834,3123,0.0013286551737781414
31775,3123,0.0013286551737781414
33180,3009,0.0012801547927948854
34512,3004,0.0012780275831026375
30868,2967,0.0012622862313800018
30189,2861,0.0012171893859043428
32758,2797,0.0011899611018435674
30711,2782,0.0011835794727668234
31637,2744,0.001167412679105738
30849,2731,0.0011618819339058932
30255,2729,0.0011610310500289938
34309,2682,0.001141035278921862
30785,2680,0.001140184395044963
30476,2668,0.0011350790917835675
32769,2652,0.0011282720207683736
30620,2561,0.0010895568043694588
34677,2554,0.0010865787108003116
30107,2536,0.0010789207559082185
32126,2504,0.001065306613877831
30416,2496,0.001061903078370234
35862,2438,0.0010372274459401565
31844,2424,0.001031271258801862
31638,2397,0.0010197843264637223
33894,2366,0.0010065956263717844
33728,2356,0.0010023412069872881
30135,2331,0.0009917051585260478
34082,2289,0.0009738365971111642
34286,2275,0.0009678804099728695
33434,2267,0.0009644768744652727
32853,2219,0.0009440556614196912
32321,2212,0.000941077567850544
30158,2200,0.0009359722645891486
34696,2196,0.0009342704968353502
32896,2191,0.0009321432871431021
34783,2143,0.0009117220740975207
34986,2142,0.000911296632159071
32779,2100,0.0008934280707441872
30073,2099,0.0008930026288057377
34945,2047,0.0008708796480063579
34895,2044,0.0008696033221910089
33514,2017,0.0008581163898528694
31227,2006,0.0008534365285299237
35721,1998,0.0008500329930223267
32708,1991,0.0008470548994531794
31603,1989,0.0008462040155762802
31823,1959,0.0008334407574227919
34234,1942,0.0008262082444691484
34838,1937,0.0008240810347769004
32105,1926,0.0008194011734539546
33710,1925,0.0008189757315155051
30747,1918,0.0008159976379463577
34627,1900,0.0008083396830542647
31977,1895,0.0008062124733620166
31492,1889,0.0008036598217313189
30980,1878,0.0007989799604083732
35085,1859,0.0007908965635778306
32709,1857,0.0007900456797009314
32855,1857,0.0007900456797009314
35282,1848,0.0007862167022548848
36039,1841,0.0007832386086857376
30185,1814,0.0007717516763475979
32851,1814,0.0007717516763475979
