origin,frequency,relative_frequency
STS,8191,0.0005142682601804366
PHF,7976,0.0005007695816382812
HRL,7912,0.0004967513703513141
AZO,7897,0.0004958096020809312
LNK,7149,0.00044884675766450257
BLI,7036,0.0004417521033609512
PAE,7011,0.00044018248957697966
CWA,6992,0.0004389895831011613
DAB,6846,0.0004298230386027675
OAJ,6725,0.0004222261078883452
AEX,6661,0.0004182078966013781
ACY,6387,0.0004010049295290499
GRK,6378,0.0004004398685668202
GTF,6300,0.000395542673560829
STT,6284,0.0003945381207390872
BMI,6239,0.0003917128159279384
DLH,6168,0.0003872551127814592
COU,6052,0.00037997210482383127
MLU,6015,0.0003776490764235534
MBS,5976,0.0003752004789205578
CMI,5908,0.00037093112942815517
ITH,5851,0.00036735241000070005
SGU,5847,0.0003671012717952646
IDA,5683,0.0003568046053724113
SWF,5627,0.00035328867049631504
MTJ,5626,0.00035322588594495616
TTN,5604,0.0003518446258150612
MOT,5571,0.00034977273562021875
ELM,5315,0.00033369989047235017
BRO,5312,0.0003335115368182736
SAF,5257,0.00033005838649353617
EWN,5195,0.00032616574430928674
LRD,5104,0.00032045235013563033
MLB,5074,0.00031856881359486447
ERI,5029,0.0003157435087837157
KTN,4808,0.0003018681229334073
BFL,4791,0.0003008007855603066
EGE,4750,0.00029822661895459327
HLN,4705,0.0002954013141434445
CLL,4570,0.00028692539970999817
CPR,4396,0.0002760008877735562
LSE,4335,0.00027217103014066566
ABI,4291,0.00026940850988087575
BQN,4258,0.0002673366196860333
GFK,4214,0.0002645740994262434
FSM,4212,0.0002644485303235257
TOL,4194,0.00026331840839906615
LYH,4153,0.0002607442417933528
LCH,3910,0.00024548759581314943
SBY,3886,0.00024398076658053674
MHK,3815,0.00023952306343405754
FLG,3728,0.00023406080746583656
LNY,3620,0.00022728007591907951
SUN,3611,0.00022671501495684975
SPI,3604,0.00022627552309733773
HDN,3531,0.00022169225084814082
ACV,3490,0.00021911808424242749
ISN,3434,0.00021560214936633122
ACT,3388,0.00021271406000382358
SJT,3311,0.00020787964954919121
YUM,3295,0.00020687509672744943
HHH,3295,0.00020687509672744943
HTS,3090,0.00019400426369888278
PGV,3003,0.0001885420077306618
TYR,3003,0.0001885420077306618
ORH,2872,0.0001803172315026509
ROW,2751,0.00017272030078822865
MQT,2750,0.0001726575162368698
DHN,2747,0.0001724691625827932
SIT,2681,0.00016832538219310834
LAW,2675,0.00016794867488495517
JHM,2666,0.0001673836139227254
PUW,2627,0.00016493501641972979
ACK,2623,0.00016468387821429436
FLO,2610,0.00016386767904662914
RDD,2557,0.00016054009782460947
CSG,2549,0.00016003782141373857
SUX,2527,0.00015865656128384362
YKM,2514,0.00015784036211617843
TWF,2504,0.0001572125166025898
TXK,2461,0.00015451278089415876
USA,2370,0.00014879938672050232
PIH,2351,0.00014760648024468394
LWS,2349,0.00014748091114196623
EAT,2336,0.00014666471197430104
HYS,2328,0.00014616243556343013
SPS,2313,0.0001452206672930472
PBG,2309,0.00014496952908761175
GUM,2217,0.00013919335036259649
LBE,2207,0.00013856550484900787
GTR,2201,0.0001381887975408547
COD,2187,0.00013730981382183063
JLN,2185,0.00013718424471911291
MKK,2171,0.00013630526100008884
GRI,2137,0.00013417058625388753
LCK,2119,0.00013304046432942803
PLN,2102,0.0001319731269563274
HVN,2099,0.0001317847733022508
VLD,2070,0.00012996402131284381
BQK,2068,0.00012983845221012607
MEI,2063,0.00012952452945333176
DBQ,2051,0.00012877111483702543
BLV,2036,0.0001278293465666425
ABY,2020,0.00012682479374490072
STX,2018,0.000126699224642183
PAH,2007,0.00012600859457723553
JMS,1972,0.00012381113527967536
SCC,1962,0.00012318328976608674
BGM,1875,0.00011772103379786577
BPT,1849,0.00011608863546253537
PUB,1839,0.00011546078994894675
ALW,1821,0.00011433066802448723
SCK,1782,0.00011188207052149162
GGG,1740,0.00010924511936441943
SWO,1675,0.00010516412352609342
BET,1662,0.00010434792435842822
CKB,1661,0.00010428513980706935
IAG,1653,0.00010378286339619845
GUC,1627,0.00010215046506086805
SLN,1623,0.00010189932685543261
PSE,1613,0.00010127148134184399
GCC,1603,0.00010064363582825537
DUT,1599,0.00010039249762281993
CGI,1573,9.876009928748952e-05
IPT,1558,9.781833101710659e-05
UIN,1558,9.781833101710659e-05
RHI,1526,9.580922537362302e-05
ABR,1492,9.367455062742172e-05
SPN,1485,9.323505876790968e-05
BJI,1481,9.298392056247425e-05
GCK,1458,9.153987588122042e-05
BRW,1454,9.128873767578497e-05
CMX,1449,9.097481491899066e-05
PSG,1443,9.059810761083749e-05
EAU,1443,9.059810761083749e-05
WRG,1442,9.053532305947864e-05
MKG,1442,9.053532305947864e-05
CDV,1442,9.053532305947864e-05
YAK,1442,9.053532305947864e-05
OME,1441,9.047253850811977e-05
OTZ,1440,9.040975395676091e-05
PIB,1432,8.990747754589002e-05
ART,1429,8.971912389181343e-05
HOB,1423,8.934241658366025e-05
RFD,1422,8.92796320323014e-05
RKS,1413,8.871457107007163e-05
CDC,1383,8.683103452930579e-05
ALO,1375,8.63287581184349e-05
SHD,1370,8.601483536164059e-05
BTM,1354,8.50102825398988e-05
CIU,1349,8.469635978310449e-05
IMT,1327,8.331509965320954e-05
EKO,1321,8.293839234505636e-05
INL,1294,8.12432094583671e-05
DIK,1292,8.111764035564937e-05
PVU,1278,8.023865663662531e-05
ADQ,1273,7.9924733879831e-05
BRD,1269,7.967359567439555e-05
LAR,1250,7.848068919857718e-05
DVL,1247,7.82923355445006e-05
HIB,1247,7.82923355445006e-05
ESC,1244,7.810398189042401e-05
LWB,1241,7.791562823634743e-05
APN,1240,7.785284368498856e-05
BFF,1198,7.521589252791636e-05
LBF,1194,7.496475432248093e-05
LBL,1186,7.446247791161002e-05
MMH,1126,7.069540483007831e-05
MVY,1044,6.554707161865166e-05
CNY,1043,6.54842870672928e-05
PRC,973,6.108936847217248e-05
VEL,946,5.939418558548321e-05
PQI,942,5.914304738004776e-05
EAR,884,5.550154340123378e-05
DRT,837,5.2550669487367274e-05
OTH,752,4.721398262186403e-05
PSM,727,4.5644368837892485e-05
OGS,664,4.16889421022842e-05
PIR,657,4.124945024277217e-05
CYS,573,3.597554792862778e-05
ATY,523,3.283632036068469e-05
WYS,503,3.158062933350746e-05
XWA,418,2.624394246800421e-05
SMX,363,2.279079214326681e-05
HGR,321,2.015384098619462e-05
BKG,302,1.8960934510376246e-05
STC,281,1.764245893184015e-05
PPG,242,1.5193861428844542e-05
OGD,230,1.44404468125382e-05
OWB,210,1.3184755785360966e-05
ADK,207,1.2996402131284381e-05
HYA,172,1.0798942833724219e-05
GST,166,1.042223552557105e-05
DLG,166,1.042223552557105e-05
BFM,158,9.919959114700154e-06
ROP,151,9.480467255188123e-06
AKN,124,7.785284368498856e-06
IFP,45,2.8253048111487784e-06
YNG,2,1.2556910271772347e-07
