cancellation_code,frequency,relative_frequency
,601210,0.6907141166657859
B,142089,0.16324225831726827
A,70569,0.08107483990450565
C,56484,0.06489295947464321
D,64,7.3527891197103e-05
X,2,2.297746599909469e-06
,0,0.0
