dest_city_name,frequency,relative_frequency
"Amarillo, TX",11900,0.0007471361611704547
"Missoula, MT",11602,0.0007284263648655139
"Scranton/Wilkes-Barre, PA",11435,0.000717941344788584
"Corpus Christi, TX",11428,0.0007175018529290719
"Bangor, ME",11396,0.0007154927472855884
"Charleston/Dunbar, WV",11181,0.0007019940687434331
"Evansville, IN",11039,0.0006930786624504748
"Traverse City, MI",10673,0.0006700995166531314
"San Luis Obispo, CA",10646,0.000668404333766442
"Punta Gorda, FL",10580,0.0006642605533767572
"Billings, MT",10531,0.000661184110360173
"Key West, FL",10434,0.0006550940088783634
"Bismarck/Mandan, ND",10347,0.0006496317529101424
"Augusta, GA",10318,0.0006478110009207355
"Mission/McAllen/Edinburg, TX",10186,0.0006395234401413657
"Lafayette, LA",9767,0.0006132167131220026
"Gainesville, FL",9686,0.0006081311644619348
"Fairbanks, AK",9667,0.0006069382579861164
"Flint, MI",9501,0.0005965160224605454
"State College, PA",9385,0.0005892330145029174
"Grand Junction, CO",9367,0.0005881028925784579
"Kalispell, MT",9136,0.0005735996612145609
"Jackson, WY",9123,0.0005727834620468956
"Montgomery, AL",9058,0.0005687024662085696
"Fayetteville, NC",8917,0.0005598498444669702
"Juneau, AK",8910,0.0005594103526074581
"Monterey, CA",8908,0.0005592847835047404
"Gulfport/Biloxi, MS",8782,0.0005513739300335238
"Rochester, MN",8422,0.0005287714915443336
"Lansing, MI",8402,0.0005275158005171564
"Bristol/Johnson City/Kingsport, TN",8377,0.0005259461867331848
"Durango, CO",8227,0.0005165285040293555
"Santa Rosa, CA",8189,0.0005141426910777188
"Newport News/Williamsburg, VA",7978,0.000500895150740999
"Harlingen/San Benito, TX",7919,0.0004971908622108262
"Kalamazoo, MI",7898,0.00049587238663229
"Lincoln, NE",7150,0.00044890954221586145
"Bellingham, WA",7039,0.0004419404570150278
"Everett, WA",7009,0.00044005692047426195
"Mosinee, WI",6995,0.0004391779367552379
"Daytona Beach, FL",6847,0.0004298858231541263
"Jacksonville/Camp Lejeune, NC",6729,0.00042247724609378065
"Alexandria, LA",6661,0.0004182078966013781
"Atlantic City, NJ",6387,0.0004010049295290499
"Killeen, TX",6379,0.00040050265311817907
"Great Falls, MT",6302,0.0003956682426635467
"Charlotte Amalie, VI",6284,0.0003945381207390872
"Bloomington/Normal, IL",6240,0.0003917756004792973
"Duluth, MN",6170,0.00038738068188417694
"Columbia, MO",6055,0.00038016045847790787
"Monroe, LA",6016,0.0003777118609749122
"Saginaw/Bay City/Midland, MI",5975,0.0003751376943691989
"Champaign/Urbana, IL",5909,0.00037099391397951405
"Ithaca/Cortland, NY",5855,0.00036760354820613547
"St. George, UT",5846,0.00036703848724390574
"Idaho Falls, ID",5683,0.0003568046053724113
"Montrose/Delta, CO",5627,0.00035328867049631504
"Newburgh/Poughkeepsie, NY",5627,0.00035328867049631504
"Trenton, NJ",5611,0.00035228411767457323
"Minot, ND",5570,0.0003497099510688599
"Brownsville, TX",5316,0.000333762675023709
"Elmira/Corning, NY",5314,0.0003336371059209913
"Santa Fe, NM",5261,0.00033030952469897165
"New Bern/Morehead/Beaufort, NC",5199,0.0003264168825147222
"Laredo, TX",5105,0.0003205151346869892
"Melbourne, FL",5072,0.00031844324449214676
"Erie, PA",5028,0.00031568072423235685
"Ketchikan, AK",4810,0.000301993692036125
"Bakersfield, CA",4792,0.00030086357011166546
"Eagle, CO",4749,0.0002981638344032344
"Helena, MT",4702,0.0002952129604893679
"College Station/Bryan, TX",4572,0.0002870509688127159
"Casper, WY",4396,0.0002760008877735562
"La Crosse, WI",4334,0.0002721082455893068
"Abilene, TX",4291,0.00026940850988087575
"Aguadilla, PR",4261,0.0002675249733401099
"Grand Forks, ND",4216,0.0002646996685289611
"Fort Smith, AR",4212,0.0002644485303235257
"Toledo, OH",4193,0.00026325562384770727
"Lynchburg, VA",4153,0.0002607442417933528
"Lake Charles, LA",3910,0.00024548759581314943
"Salisbury, MD",3885,0.00024391798202917785
"Williston, ND",3854,0.00024197166093705314
"Manhattan/Ft. Riley, KS",3816,0.0002395858479854164
"Flagstaff, AZ",3730,0.0002341863765685543
"Lanai, HI",3623,0.00022746842957315608
"Sun Valley/Hailey/Ketchum, ID",3617,0.00022709172226500292
"Springfield, IL",3605,0.00022633830764869658
"Hayden, CO",3535,0.00022194338905357625
"Arcata/Eureka, CA",3493,0.00021930643789650405
"Waco, TX",3389,0.00021277684455518243
"San Angelo, TX",3311,0.00020787964954919121
"Hilton Head, SC",3297,0.00020700066583016717
"Yuma, AZ",3296,0.0002069378812788083
"Ashland, WV",3087,0.00019381591004480618
"Greenville, NC",3003,0.0001885420077306618
"Tyler, TX",3003,0.0001885420077306618
"Worcester, MA",2879,0.00018075672336216296
"Roswell, NM",2751,0.00017272030078822865
"Marquette, MI",2751,0.00017272030078822865
"Dothan, AL",2747,0.0001724691625827932
"Sitka, AK",2685,0.00016857652039854376
"Lawton/Fort Sill, OK",2675,0.00016794867488495517
"Kapalua, HI",2658,0.0001668813375118545
"Pullman, WA",2627,0.00016493501641972979
"Nantucket, MA",2623,0.00016468387821429436
"Florence, SC",2610,0.00016386767904662914
"Redding, CA",2557,0.00016054009782460947
"Columbus, GA",2549,0.00016003782141373857
"Sioux City, IA",2528,0.00015871934583520247
"Yakima, WA",2514,0.00015784036211617843
"Texarkana, AR",2465,0.00015476391909959418
"Concord, NC",2367,0.00014861103306642575
"Pocatello, ID",2350,0.00014754369569332508
"Lewiston, ID",2350,0.00014754369569332508
"Wenatchee, WA",2336,0.00014666471197430104
"Hays, KS",2329,0.000146225220114789
"Wichita Falls, TX",2313,0.0001452206672930472
"Plattsburgh, NY",2309,0.00014496952908761175
"Guam, TT",2217,0.00013919335036259649
"Twin Falls, ID",2211,0.00013881664305444332
"Latrobe, PA",2204,0.00013837715119493127
"Columbus, MS",2201,0.0001381887975408547
"Cody, WY",2190,0.00013749816747590722
"Joplin, MO",2187,0.00013730981382183063
"Hoolehua, HI",2171,0.00013630526100008884
"Grand Island, NE",2136,0.00013410780170252867
"Pellston, MI",2101,0.00013191034240496853
"New Haven, CT",2101,0.00013191034240496853
"Valdosta, GA",2070,0.00012996402131284381
"Brunswick, GA",2068,0.00012983845221012607
"Meridian, MS",2064,0.00012958731400469062
"Dubuque, IA",2051,0.00012877111483702543
"Belleville, IL",2033,0.00012764099291256593
"Albany, GA",2020,0.00012682479374490072
"Christiansted, VI",2018,0.000126699224642183
"Paducah, KY",2009,0.00012613416367995324
"Jamestown, ND",1977,0.00012412505803646967
"Deadhorse, AK",1962,0.00012318328976608674
"Binghamton, NY",1875,0.00011772103379786577
"Beaumont/Port Arthur, TX",1849,0.00011608863546253537
"Pueblo, CO",1839,0.00011546078994894675
"Walla Walla, WA",1821,0.00011433066802448723
"Stockton, CA",1781,0.00011181928597013275
"Longview, TX",1740,0.00010924511936441943
"Stillwater, OK",1676,0.00010522690807745227
"Bethel, AK",1662,0.00010434792435842822
"Clarksburg/Fairmont, WV",1660,0.00010422235525571049
"Niagara Falls, NY",1650,0.00010359450974212187
"Gunnison, CO",1627,0.00010215046506086805
"Salina, KS",1624,0.00010196211140679146
"Ponce, PR",1614,0.00010133426589320284
"Gillette, WY",1604,0.00010070642037961424
"Unalaska, AK",1598,0.00010032971307146106
"Cape Girardeau, MO",1574,9.882288383884838e-05
"Quincy, IL",1560,9.794390011982432e-05
"Williamsport, PA",1559,9.788111556846545e-05
"Rhinelander, WI",1528,9.593479447634075e-05
"Aberdeen, SD",1494,9.380011973013945e-05
"Saipan, TT",1485,9.323505876790968e-05
"Bemidji, MN",1481,9.298392056247425e-05
"Garden City, KS",1458,9.153987588122042e-05
"Barrow, AK",1455,9.135152222714384e-05
"Hancock/Houghton, MI",1452,9.116316857306724e-05
"Petersburg, AK",1444,9.066089216219635e-05
"Wrangell, AK",1444,9.066089216219635e-05
"Muskegon, MI",1443,9.059810761083749e-05
"Eau Claire, WI",1443,9.059810761083749e-05
"Yakutat, AK",1443,9.059810761083749e-05
"Cordova, AK",1442,9.053532305947864e-05
"Nome, AK",1441,9.047253850811977e-05
"Kotzebue, AK",1440,9.040975395676091e-05
"Hattiesburg/Laurel, MS",1432,8.990747754589002e-05
"Watertown, NY",1431,8.984469299453115e-05
"Hobbs, NM",1423,8.934241658366025e-05
"Rockford, IL",1422,8.92796320323014e-05
"Rock Springs, WY",1413,8.871457107007163e-05
"Cedar City, UT",1385,8.695660363202352e-05
"Waterloo, IA",1375,8.63287581184349e-05
"Staunton, VA",1373,8.620318901571717e-05
"Butte, MT",1354,8.50102825398988e-05
"Sault Ste. Marie, MI",1349,8.469635978310449e-05
"Iron Mountain/Kingsfd, MI",1326,8.325231510185067e-05
"Elko, NV",1322,8.300117689641523e-05
"International Falls, MN",1294,8.12432094583671e-05
"Dickinson, ND",1292,8.111764035564937e-05
"Provo, UT",1275,8.005030298254873e-05
"Kodiak, AK",1273,7.9924733879831e-05
"Brainerd, MN",1269,7.967359567439555e-05
"Laramie, WY",1250,7.848068919857718e-05
"Devils Lake, ND",1247,7.82923355445006e-05
"Hibbing, MN",1247,7.82923355445006e-05
"Escanaba, MI",1244,7.810398189042401e-05
"Alpena, MI",1244,7.810398189042401e-05
"Lewisburg, WV",1242,7.797841278770628e-05
"Scottsbluff, NE",1199,7.527867707927522e-05
"North Platte, NE",1196,7.509032342519864e-05
"Liberal, KS",1186,7.446247791161002e-05
"Mammoth Lakes, CA",1125,7.063262027871946e-05
"Martha's Vineyard, MA",1044,6.554707161865166e-05
"Moab, UT",1043,6.54842870672928e-05
"Prescott, AZ",974,6.115215302353133e-05
"Vernal, UT",947,5.945697013684207e-05
"Presque Isle/Houlton, ME",943,5.9205831931406624e-05
"Kearney, NE",885,5.556432795259264e-05
"Del Rio, TX",838,5.261345403872614e-05
"North Bend/Coos Bay, OR",753,4.727676717322289e-05
"Portsmouth, NH",724,4.54560151838159e-05
"Ogdensburg, NY",665,4.175172665364306e-05
"Pierre, SD",659,4.137501934548989e-05
"Cheyenne, WY",573,3.597554792862778e-05
"Watertown, SD",522,3.277353580932583e-05
"West Yellowstone, MT",503,3.158062933350746e-05
"Santa Maria, CA",363,2.279079214326681e-05
"Hagerstown, MD",321,2.015384098619462e-05
"Branson, MO",302,1.8960934510376246e-05
"St. Cloud, MN",281,1.764245893184015e-05
"Pago Pago, TT",242,1.5193861428844542e-05
"Ogden, UT",230,1.44404468125382e-05
"Owensboro, KY",209,1.3121971234002104e-05
"Adak Island, AK",207,1.2996402131284381e-05
"Hyannis, MA",172,1.0798942833724219e-05
"Dillingham, AK",166,1.042223552557105e-05
"Gustavus, AK",166,1.042223552557105e-05
"Rota, TT",151,9.480467255188123e-06
"King Salmon, AK",124,7.785284368498856e-06
"Bullhead City, AZ",45,2.8253048111487784e-06
"Youngstown/Warren, OH",2,1.2556910271772347e-07
