carrier_group_new,frequency,relative_frequency
3,1384411,0.5889864994509671
2,304595,0.12958748724205987
5,281386,0.1197134052925828
0,207204,0.08815327141451361
1,82173,0.03495984040822005
6,79196,0.03369329975745555
4,9784,0.004162523925791014
9,1748,0.0007436725084099236
