month,frequency,relative_frequency
12,206288,0.08776356659889377
6,202539,0.08616858477164617
8,202030,0.0859520348249753
11,199100,0.08470548994531794
7,196337,0.08352999386938166
1,196091,0.08342533515252307
3,194851,0.08289778714884555
4,193685,0.08240172184861329
10,191230,0.08135726188971949
9,190641,0.08110667658797267
5,190211,0.08092373655443934
2,187494,0.07976781080767174
