dep_time,frequency,relative_frequency
555.0,42755,0.002728693454601223
557.0,39747,0.0025367180152037145
556.0,39722,0.0025351224746502114
558.0,37067,0.0023656760678681683
554.0,35245,0.002249393072328853
559.0,33536,0.002140321920091372
655.0,32494,0.0020738197898213574
553.0,30796,0.001965450675427418
600.0,30645,0.001955813610484259
656.0,29775,0.0019002887992223463
657.0,29358,0.0018736751827899123
658.0,28325,0.001807747447119159
654.0,27870,0.0017787086090454002
659.0,26406,0.001685273754232251
700.0,25758,0.0016439173430854474
653.0,24787,0.001581946547987382
552.0,24767,0.0015806701155445793
755.0,22578,0.0014409645846798365
955.0,21995,0.0014037565789721412
825.0,21937,0.0014000549248880138
652.0,21667,0.001382823086910179
954.0,20795,0.0013271706324039863
756.0,20624,0.0013162571350180243
754.0,20457,0.0013055989241206225
956.0,20311,0.0012962809672881638
855.0,20045,0.0012793044157988894
757.0,20008,0.0012769430157797046
1155.0,19889,0.0012693482427450292
824.0,19861,0.0012675612373251057
957.0,19837,0.0012660295183937425
758.0,19780,0.001262391685931755
958.0,19733,0.001259392069691169
1755.0,19594,0.001250520864213691
953.0,19539,0.001247010674995984
551.0,19529,0.0012463724587745827
650.0,19462,0.0012420964100911941
725.0,19456,0.0012417134803583533
1055.0,19400,0.001238139469518506
1750.0,19381,0.0012369268586978437
1655.0,19369,0.0012361609992321621
1000.0,19281,0.0012305446964838308
959.0,19195,0.0012250560369797797
753.0,19180,0.0012240987126476777
550.0,19117,0.0012200779504528494
601.0,19107,0.0012194397342314483
605.0,19097,0.001218801518010047
950.0,19081,0.001217780372055805
826.0,19046,0.0012155466152809003
830.0,19027,0.0012143340044602378
1255.0,18950,0.001209419739555448
1154.0,18892,0.0012057180854713205
759.0,18825,0.0012014420367879317
827.0,18763,0.0011974850962152438
1754.0,18734,0.00119563426917318
800.0,18653,0.0011904647177798295
820.0,18608,0.0011875927447835238
1153.0,18602,0.001187209815050683
1355.0,18538,0.0011831252312337146
823.0,18532,0.001182742301500874
854.0,18492,0.0011801894366152688
952.0,18446,0.0011772536419968227
625.0,18432,0.0011763601392868611
828.0,18391,0.0011737434527791157
1455.0,18363,0.001171956447359192
1150.0,18226,0.0011632128851259945
651.0,18224,0.0011630852418817142
1125.0,18206,0.0011619364526831918
1749.0,18182,0.0011604047337518287
829.0,18180,0.0011602770905075484
1752.0,18180,0.0011602770905075484
1753.0,18174,0.0011598941607747076
1225.0,18164,0.0011592559445533063
1745.0,18149,0.0011582986202212046
610.0,18141,0.0011577880472440835
705.0,18140,0.0011577242256219434
1100.0,18111,0.0011558733985798796
1156.0,18002,0.0011489168417666055
856.0,17979,0.0011474489444573824
1056.0,17951,0.001145661939037459
1654.0,17933,0.0011445131498389366
1059.0,17885,0.0011414497119762103
1152.0,17866,0.0011402371011555478
1058.0,17811,0.0011367269119378408
1254.0,17808,0.0011365354470714204
1555.0,17794,0.0011356419443614586
1751.0,17788,0.0011352590146286178
1800.0,17785,0.0011350675497621974
724.0,17778,0.0011346207984072165
951.0,17764,0.0011337272956972548
603.0,17717,0.0011307276794566687
1354.0,17697,0.001129451247013866
602.0,17680,0.0011283662794374838
1240.0,17663,0.0011272813118611018
1656.0,17643,0.0011260048794182991
822.0,17633,0.0011253666631968978
1725.0,17627,0.001124983733464057
1200.0,17618,0.0011244093388647959
1057.0,17605,0.0011235796577769741
1253.0,17576,0.0011217288307349106
1525.0,17549,0.001120005646937127
1955.0,17536,0.0011191759658493053
853.0,17536,0.0011191759658493053
1157.0,17518,0.001118027176650783
1748.0,17506,0.0011172613171851014
1740.0,17488,0.001116112527986579
1054.0,17483,0.0011157934198758783
1756.0,17453,0.0011138787712116746
857.0,17434,0.001112666160391012
1757.0,17417,0.0011115811928146299
1758.0,17405,0.0011108153333489483
1250.0,17391,0.0011099218306389865
1120.0,17371,0.001108645398196184
701.0,17366,0.0011083262900854834
1050.0,17357,0.0011077518954862222
1744.0,17348,0.001107177500886961
1454.0,17316,0.0011051352089784768
1425.0,17312,0.0011048799224899163
1025.0,17305,0.0011044331711349354
1657.0,17287,0.0011032843819364132
1256.0,17281,0.0011029014522035724
945.0,17267,0.0011020079494936106
1658.0,17267,0.0011020079494936106
1053.0,17256,0.0011013059116500691
604.0,17245,0.0011006038738065277
1158.0,17225,0.001099327441363725
1747.0,17205,0.0010980510089209224
1659.0,17199,0.0010976680791880817
1700.0,17184,0.00109671075485598
1530.0,17173,0.0010960087170124384
940.0,17170,0.001095817252146018
1759.0,17159,0.0010951152143024766
752.0,17156,0.0010949237494360562
1954.0,17134,0.0010935196737489733
1124.0,17118,0.0010924985277947312
810.0,17113,0.0010921794196840306
723.0,17112,0.0010921155980618904
1151.0,17111,0.0010920517764397503
1653.0,17062,0.001088924516954884
710.0,17050,0.0010881586574892025
1159.0,17048,0.0010880310142449222
1356.0,17006,0.0010853505061150367
1730.0,16999,0.001084903754760056
840.0,16989,0.0010842655385386547
1456.0,16989,0.0010842655385386547
815.0,16986,0.0010840740736722343
949.0,16977,0.0010834996790729731
1115.0,16974,0.0010833082142065527
1230.0,16950,0.0010817764952751896
1353.0,16936,0.0010808829925652277
1220.0,16920,0.0010798618466109856
1005.0,16907,0.001079032165523164
852.0,16897,0.0010783939493017628
726.0,16897,0.0010783939493017628
1950.0,16895,0.0010782663060574826
1245.0,16888,0.0010778195547025016
850.0,16877,0.0010771175168589602
1210.0,16863,0.0010762240141489984
1746.0,16862,0.0010761601925268582
900.0,16856,0.0010757772627940174
1205.0,16843,0.0010749475817061957
1224.0,16826,0.0010738626141298135
