aircraft_group,frequency,relative_frequency
6,1866533,0.7941014177001715
4,218217,0.0928386634826592
0,102903,0.043779251792280524
8,62586,0.026626709159807478
1,47804,0.0203378264256453
7,44994,0.019142334578601886
2,3009,0.0012801547927948854
5,2768,0.0011776232856285287
3,1683,0.0007160187824106986
