first_dep_time,frequency,relative_frequency
,597807,0.8458595391548578
555.0,273,0.0003862779361721696
557.0,266,0.0003763733737062165
556.0,258,0.0003650538737451273
558.0,256,0.00036222399875485503
655.0,251,0.00035514931127917423
600.0,235,0.0003325103113569958
559.0,230,0.00032543562388131505
657.0,228,0.0003226057488910427
656.0,224,0.0003169459989104981
658.0,203,0.00028723231151263893
554.0,202,0.0002858173740175028
659.0,200,0.00028298749902723046
553.0,198,0.0002801576240369582
654.0,194,0.0002744978740564136
700.0,190,0.00026883812407586897
653.0,187,0.0002645933115904605
650.0,173,0.00024478418665855434
754.0,172,0.0002433692491634182
725.0,172,0.0002433692491634182
758.0,168,0.0002377094991828736
1800.0,167,0.00023629456168773746
755.0,163,0.00023063481170719282
552.0,157,0.0002221451867363759
1600.0,156,0.00022073024924123977
1659.0,154,0.00021790037425096747
826.0,153,0.0002164854367558313
1715.0,152,0.00021507049926069516
753.0,151,0.000213655561765559
1545.0,151,0.000213655561765559
1559.0,150,0.00021224062427042286
625.0,148,0.00020941074928015055
710.0,148,0.00020941074928015055
1550.0,148,0.00020941074928015055
1710.0,148,0.00020941074928015055
1458.0,147,0.0002079958117850144
1553.0,146,0.00020658087428987825
705.0,146,0.00020658087428987825
1658.0,146,0.00020658087428987825
1504.0,146,0.00020658087428987825
757.0,146,0.00020658087428987825
652.0,145,0.00020516593679474209
1757.0,145,0.00020516593679474209
1725.0,144,0.00020375099929960595
1754.0,144,0.00020375099929960595
756.0,144,0.00020375099929960595
1555.0,143,0.00020233606180446978
1400.0,143,0.00020233606180446978
1752.0,143,0.00020233606180446978
1525.0,142,0.00020092112430933364
704.0,142,0.00020092112430933364
1804.0,141,0.00019950618681419748
800.0,141,0.00019950618681419748
1743.0,141,0.00019950618681419748
1759.0,141,0.00019950618681419748
825.0,140,0.00019809124931906134
830.0,139,0.00019667631182392517
1742.0,139,0.00019667631182392517
1427.0,139,0.00019667631182392517
1630.0,138,0.00019526137432878903
1751.0,138,0.00019526137432878903
649.0,138,0.00019526137432878903
1815.0,138,0.00019526137432878903
601.0,137,0.00019384643683365287
1756.0,137,0.00019384643683365287
1533.0,137,0.00019384643683365287
605.0,137,0.00019384643683365287
1625.0,137,0.00019384643683365287
712.0,137,0.00019384643683365287
955.0,137,0.00019384643683365287
1748.0,137,0.00019384643683365287
1453.0,137,0.00019384643683365287
828.0,136,0.00019243149933851673
630.0,136,0.00019243149933851673
1510.0,136,0.00019243149933851673
1557.0,136,0.00019243149933851673
820.0,135,0.00019101656184338056
701.0,135,0.00019101656184338056
1745.0,135,0.00019101656184338056
1554.0,135,0.00019101656184338056
1225.0,134,0.00018960162434824443
708.0,134,0.00018960162434824443
1546.0,134,0.00018960162434824443
1547.0,134,0.00018960162434824443
1730.0,134,0.00018960162434824443
1556.0,134,0.00018960162434824443
1530.0,134,0.00018960162434824443
1753.0,133,0.00018818668685310826
1802.0,133,0.00018818668685310826
1755.0,133,0.00018818668685310826
1727.0,133,0.00018818668685310826
1649.0,133,0.00018818668685310826
1700.0,132,0.00018677174935797212
1728.0,132,0.00018677174935797212
651.0,132,0.00018677174935797212
1514.0,131,0.00018535681186283596
724.0,131,0.00018535681186283596
1540.0,131,0.00018535681186283596
1456.0,131,0.00018535681186283596
1356.0,131,0.00018535681186283596
1620.0,131,0.00018535681186283596
1813.0,131,0.00018535681186283596
551.0,130,0.00018394187436769982
1652.0,130,0.00018394187436769982
1526.0,130,0.00018394187436769982
1741.0,130,0.00018394187436769982
1656.0,130,0.00018394187436769982
829.0,129,0.00018252693687256365
1542.0,129,0.00018252693687256365
815.0,129,0.00018252693687256365
1812.0,129,0.00018252693687256365
702.0,129,0.00018252693687256365
1500.0,129,0.00018252693687256365
1746.0,128,0.00018111199937742751
827.0,128,0.00018111199937742751
1654.0,128,0.00018111199937742751
1506.0,128,0.00018111199937742751
954.0,127,0.00017969706188229135
709.0,127,0.00017969706188229135
1558.0,127,0.00017969706188229135
1257.0,127,0.00017969706188229135
824.0,127,0.00017969706188229135
1801.0,127,0.00017969706188229135
1528.0,127,0.00017969706188229135
1820.0,126,0.0001782821243871552
1724.0,126,0.0001782821243871552
1527.0,126,0.0001782821243871552
703.0,126,0.0001782821243871552
1705.0,126,0.0001782821243871552
1548.0,126,0.0001782821243871552
707.0,126,0.0001782821243871552
1740.0,126,0.0001782821243871552
727.0,126,0.0001782821243871552
722.0,125,0.00017686718689201904
1535.0,125,0.00017686718689201904
1516.0,125,0.00017686718689201904
747.0,125,0.00017686718689201904
1552.0,125,0.00017686718689201904
1515.0,124,0.0001754522493968829
706.0,124,0.0001754522493968829
1452.0,124,0.0001754522493968829
1256.0,124,0.0001754522493968829
1457.0,124,0.0001754522493968829
1245.0,124,0.0001754522493968829
1816.0,124,0.0001754522493968829
1809.0,124,0.0001754522493968829
1721.0,124,0.0001754522493968829
1645.0,124,0.0001754522493968829
628.0,124,0.0001754522493968829
610.0,124,0.0001754522493968829
1619.0,124,0.0001754522493968829
752.0,123,0.00017403731190174674
1744.0,123,0.00017403731190174674
1424.0,123,0.00017403731190174674
1532.0,123,0.00017403731190174674
723.0,123,0.00017403731190174674
953.0,123,0.00017403731190174674
1930.0,123,0.00017403731190174674
1602.0,123,0.00017403731190174674
1454.0,123,0.00017403731190174674
1711.0,123,0.00017403731190174674
739.0,123,0.00017403731190174674
1507.0,123,0.00017403731190174674
608.0,122,0.00017262237440661057
718.0,122,0.00017262237440661057
1808.0,122,0.00017262237440661057
1657.0,122,0.00017262237440661057
1655.0,122,0.00017262237440661057
730.0,122,0.00017262237440661057
803.0,122,0.00017262237440661057
1650.0,121,0.00017120743691147444
1627.0,121,0.00017120743691147444
1355.0,121,0.00017120743691147444
1803.0,121,0.00017120743691147444
1737.0,121,0.00017120743691147444
729.0,121,0.00017120743691147444
1635.0,120,0.00016979249941633827
1840.0,120,0.00016979249941633827
1732.0,120,0.00016979249941633827
740.0,120,0.00016979249941633827
1519.0,120,0.00016979249941633827
956.0,120,0.00016979249941633827
1529.0,120,0.00016979249941633827
1531.0,120,0.00016979249941633827
1536.0,120,0.00016979249941633827
607.0,120,0.00016979249941633827
1351.0,120,0.00016979249941633827
1425.0,120,0.00016979249941633827
613.0,120,0.00016979249941633827
1328.0,119,0.00016837756192120213
1551.0,119,0.00016837756192120213
1621.0,119,0.00016837756192120213
854.0,119,0.00016837756192120213
1443.0,119,0.00016837756192120213
759.0,119,0.00016837756192120213
720.0,119,0.00016837756192120213
802.0,119,0.00016837756192120213
810.0,119,0.00016837756192120213
1459.0,119,0.00016837756192120213
1446.0,119,0.00016837756192120213
1520.0,119,0.00016837756192120213
1707.0,119,0.00016837756192120213
1713.0,119,0.00016837756192120213
1359.0,118,0.00016696262442606597
1435.0,118,0.00016696262442606597
623.0,118,0.00016696262442606597
1823.0,118,0.00016696262442606597
1503.0,118,0.00016696262442606597
1505.0,118,0.00016696262442606597
1253.0,118,0.00016696262442606597
1628.0,118,0.00016696262442606597
1544.0,118,0.00016696262442606597
626.0,118,0.00016696262442606597
1539.0,118,0.00016696262442606597
1810.0,118,0.00016696262442606597
835.0,118,0.00016696262442606597
1830.0,118,0.00016696262442606597
1758.0,118,0.00016696262442606597
1440.0,118,0.00016696262442606597
1318.0,118,0.00016696262442606597
726.0,118,0.00016696262442606597
614.0,118,0.00016696262442606597
1340.0,117,0.00016554768693092983
743.0,117,0.00016554768693092983
629.0,117,0.00016554768693092983
1415.0,117,0.00016554768693092983
1353.0,117,0.00016554768693092983
807.0,117,0.00016554768693092983
1712.0,117,0.00016554768693092983
1841.0,117,0.00016554768693092983
1603.0,117,0.00016554768693092983
750.0,117,0.00016554768693092983
1411.0,117,0.00016554768693092983
1739.0,117,0.00016554768693092983
1648.0,117,0.00016554768693092983
1716.0,117,0.00016554768693092983
1230.0,116,0.00016413274943579366
856.0,116,0.00016413274943579366
1408.0,116,0.00016413274943579366
550.0,116,0.00016413274943579366
1428.0,116,0.00016413274943579366
1703.0,116,0.00016413274943579366
809.0,116,0.00016413274943579366
858.0,116,0.00016413274943579366
1523.0,116,0.00016413274943579366
721.0,116,0.00016413274943579366
715.0,116,0.00016413274943579366
1750.0,116,0.00016413274943579366
1534.0,116,0.00016413274943579366
1455.0,116,0.00016413274943579366
1811.0,116,0.00016413274943579366
1426.0,115,0.00016271781194065752
1511.0,115,0.00016271781194065752
1508.0,115,0.00016271781194065752
1354.0,115,0.00016271781194065752
1450.0,115,0.00016271781194065752
2023.0,115,0.00016271781194065752
1502.0,115,0.00016271781194065752
1642.0,115,0.00016271781194065752
1847.0,115,0.00016271781194065752
1709.0,115,0.00016271781194065752
805.0,115,0.00016271781194065752
808.0,115,0.00016271781194065752
