origin_city_name,frequency,relative_frequency
"Amarillo, TX",11897,0.0007469478075163782
"Missoula, MT",11604,0.0007285519339682317
"Scranton/Wilkes-Barre, PA",11432,0.0007177529911345075
"Corpus Christi, TX",11426,0.0007173762838263543
"Bangor, ME",11393,0.0007153043936315118
"Charleston/Dunbar, WV",11180,0.0007019312841920743
"Evansville, IN",11039,0.0006930786624504748
"Traverse City, MI",10674,0.0006701623012044902
"San Luis Obispo, CA",10641,0.0006680904110096477
"Punta Gorda, FL",10574,0.000663883846068604
"Billings, MT",10530,0.0006611213258088141
"Key West, FL",10433,0.0006550312243270045
"Bismarck/Mandan, ND",10348,0.0006496945374615013
"Augusta, GA",10323,0.0006481249236775298
"Mission/McAllen/Edinburg, TX",10184,0.000639397871038648
"Lafayette, LA",9764,0.0006130283594679261
"Gainesville, FL",9680,0.0006077544571537817
"Fairbanks, AK",9664,0.0006067499043320399
"Flint, MI",9505,0.0005967671606659808
"Grand Junction, CO",9405,0.0005904887055300946
"State College, PA",9384,0.0005891702299515585
"Kalispell, MT",9135,0.000573536876663202
"Jackson, WY",9121,0.000572657892944178
"Montgomery, AL",9059,0.0005687652507599285
"Fayetteville, NC",8917,0.0005598498444669702
"Juneau, AK",8913,0.0005595987062615347
"Monterey, CA",8909,0.0005593475680560992
"Gulfport/Biloxi, MS",8783,0.0005514367145848827
"Rochester, MN",8421,0.0005287087069929747
"Lansing, MI",8403,0.0005275785850685152
"Bristol/Johnson City/Kingsport, TN",8378,0.0005260089712845437
"Durango, CO",8228,0.0005165912885807144
"Santa Rosa, CA",8191,0.0005142682601804366
"Newport News/Williamsburg, VA",7976,0.0005007695816382812
"Harlingen/San Benito, TX",7912,0.0004967513703513141
"Kalamazoo, MI",7897,0.0004958096020809312
"Lincoln, NE",7149,0.00044884675766450257
"Bellingham, WA",7036,0.0004417521033609512
"Everett, WA",7011,0.00044018248957697966
"Mosinee, WI",6992,0.0004389895831011613
"Daytona Beach, FL",6846,0.0004298230386027675
"Jacksonville/Camp Lejeune, NC",6725,0.0004222261078883452
"Alexandria, LA",6661,0.0004182078966013781
"Atlantic City, NJ",6387,0.0004010049295290499
"Killeen, TX",6378,0.0004004398685668202
"Great Falls, MT",6300,0.000395542673560829
"Charlotte Amalie, VI",6284,0.0003945381207390872
"Bloomington/Normal, IL",6239,0.0003917128159279384
"Duluth, MN",6168,0.0003872551127814592
"Columbia, MO",6052,0.00037997210482383127
"Monroe, LA",6015,0.0003776490764235534
"Saginaw/Bay City/Midland, MI",5976,0.0003752004789205578
"Champaign/Urbana, IL",5908,0.00037093112942815517
"Ithaca/Cortland, NY",5851,0.00036735241000070005
"St. George, UT",5847,0.0003671012717952646
"Idaho Falls, ID",5683,0.0003568046053724113
"Newburgh/Poughkeepsie, NY",5627,0.00035328867049631504
"Montrose/Delta, CO",5626,0.00035322588594495616
"Trenton, NJ",5604,0.0003518446258150612
"Minot, ND",5571,0.00034977273562021875
"Elmira/Corning, NY",5315,0.00033369989047235017
"Brownsville, TX",5312,0.0003335115368182736
"Santa Fe, NM",5257,0.00033005838649353617
"New Bern/Morehead/Beaufort, NC",5195,0.00032616574430928674
"Laredo, TX",5104,0.00032045235013563033
"Melbourne, FL",5074,0.00031856881359486447
"Erie, PA",5029,0.0003157435087837157
"Ketchikan, AK",4808,0.0003018681229334073
"Bakersfield, CA",4791,0.0003008007855603066
"Eagle, CO",4750,0.00029822661895459327
"Helena, MT",4705,0.0002954013141434445
"College Station/Bryan, TX",4570,0.00028692539970999817
"Casper, WY",4396,0.0002760008877735562
"La Crosse, WI",4335,0.00027217103014066566
"Abilene, TX",4291,0.00026940850988087575
"Aguadilla, PR",4258,0.0002673366196860333
"Grand Forks, ND",4214,0.0002645740994262434
"Fort Smith, AR",4212,0.0002644485303235257
"Toledo, OH",4194,0.00026331840839906615
"Lynchburg, VA",4153,0.0002607442417933528
"Lake Charles, LA",3910,0.00024548759581314943
"Salisbury, MD",3886,0.00024398076658053674
"Williston, ND",3852,0.00024184609183433543
"Manhattan/Ft. Riley, KS",3815,0.00023952306343405754
"Flagstaff, AZ",3728,0.00023406080746583656
"Lanai, HI",3620,0.00022728007591907951
"Sun Valley/Hailey/Ketchum, ID",3611,0.00022671501495684975
"Springfield, IL",3604,0.00022627552309733773
"Hayden, CO",3531,0.00022169225084814082
"Arcata/Eureka, CA",3490,0.00021911808424242749
"Waco, TX",3388,0.00021271406000382358
"San Angelo, TX",3311,0.00020787964954919121
"Yuma, AZ",3295,0.00020687509672744943
"Hilton Head, SC",3295,0.00020687509672744943
"Ashland, WV",3090,0.00019400426369888278
"Greenville, NC",3003,0.0001885420077306618
"Tyler, TX",3003,0.0001885420077306618
"Worcester, MA",2872,0.0001803172315026509
"Roswell, NM",2751,0.00017272030078822865
"Marquette, MI",2750,0.0001726575162368698
"Dothan, AL",2747,0.0001724691625827932
"Sitka, AK",2681,0.00016832538219310834
"Lawton/Fort Sill, OK",2675,0.00016794867488495517
"Kapalua, HI",2666,0.0001673836139227254
"Pullman, WA",2627,0.00016493501641972979
"Nantucket, MA",2623,0.00016468387821429436
"Florence, SC",2610,0.00016386767904662914
"Redding, CA",2557,0.00016054009782460947
"Columbus, GA",2549,0.00016003782141373857
"Sioux City, IA",2527,0.00015865656128384362
"Yakima, WA",2514,0.00015784036211617843
"Twin Falls, ID",2504,0.0001572125166025898
"Texarkana, AR",2461,0.00015451278089415876
"Concord, NC",2370,0.00014879938672050232
