dest_airport_id,frequency,relative_frequency
10551,1662,0.00010434792435842822
11027,1660,0.00010422235525571049
12265,1650,0.00010359450974212187
12012,1627,0.00010215046506086805
14877,1624,0.00010196211140679146
14254,1614,0.00010133426589320284
11865,1604,0.00010070642037961424
11445,1598,0.00010032971307146106
10967,1574,9.882288383884838e-05
15454,1560,9.794390011982432e-05
12365,1559,9.788111556846545e-05
14520,1528,9.593479447634075e-05
10141,1494,9.380011973013945e-05
14955,1485,9.323505876790968e-05
10631,1481,9.298392056247425e-05
11867,1458,9.153987588122042e-05
10754,1455,9.135152222714384e-05
11076,1452,9.116316857306724e-05
14256,1444,9.066089216219635e-05
15841,1444,9.066089216219635e-05
11471,1443,9.059810761083749e-05
15991,1443,9.059810761083749e-05
13344,1443,9.059810761083749e-05
10926,1442,9.053532305947864e-05
13873,1441,9.047253850811977e-05
13970,1440,9.040975395676091e-05
14109,1432,8.990747754589002e-05
10361,1431,8.984469299453115e-05
12177,1423,8.934241658366025e-05
14512,1422,8.92796320323014e-05
14543,1413,8.871457107007163e-05
10918,1385,8.695660363202352e-05
10268,1375,8.63287581184349e-05
14802,1373,8.620318901571717e-05
10779,1354,8.50102825398988e-05
11013,1349,8.469635978310449e-05
12335,1326,8.325231510185067e-05
11525,1322,8.300117689641523e-05
12343,1294,8.12432094583671e-05
11315,1292,8.111764035564937e-05
14314,1275,8.005030298254873e-05
10170,1273,7.9924733879831e-05
10739,1269,7.967359567439555e-05
12888,1250,7.848068919857718e-05
11447,1247,7.82923355445006e-05
12129,1247,7.82923355445006e-05
10333,1244,7.810398189042401e-05
11587,1244,7.810398189042401e-05
13121,1242,7.797841278770628e-05
10558,1199,7.527867707927522e-05
12899,1196,7.509032342519864e-05
12902,1186,7.446247791161002e-05
13388,1125,7.063262027871946e-05
13541,1044,6.554707161865166e-05
11092,1043,6.54842870672928e-05
14237,974,6.115215302353133e-05
15582,947,5.945697013684207e-05
14231,943,5.9205831931406624e-05
11468,885,5.556432795259264e-05
11415,838,5.261345403872614e-05
13964,753,4.727676717322289e-05
14259,724,4.54560151838159e-05
13832,665,4.175172665364306e-05
14120,659,4.137501934548989e-05
11233,573,3.597554792862778e-05
10409,522,3.277353580932583e-05
15897,503,3.158062933350746e-05
16869,420,2.6369511570721932e-05
14905,363,2.279079214326681e-05
12119,321,2.015384098619462e-05
10643,302,1.8960934510376246e-05
15008,281,1.764245893184015e-05
14222,242,1.5193861428844542e-05
13829,230,1.44404468125382e-05
13983,209,1.3121971234002104e-05
10165,207,1.2996402131284381e-05
12250,172,1.0798942833724219e-05
11997,166,1.042223552557105e-05
11336,166,1.042223552557105e-05
10562,158,9.919959114700154e-06
14582,151,9.480467255188123e-06
10245,124,7.785284368498856e-06
10590,45,2.8253048111487784e-06
16133,2,1.2556910271772347e-07
