arr_time,frequency,relative_frequency
1910.0,17202,0.0010990003709333888
1912.0,16902,0.0010798339884615822
1905.0,16830,0.0010752340566683486
1645.0,16828,0.0010751062807852032
1915.0,16814,0.0010742118496031856
1914.0,16780,0.0010720396595897141
1900.0,16762,0.0010708896766414059
2100.0,16702,0.0010670564001470444
1909.0,16699,0.0010668647363223265
1908.0,16675,0.001065331425724582
1904.0,16671,0.0010650758739582911
1902.0,16660,0.0010643731066009917
1907.0,16651,0.0010637981151268374
1650.0,16595,0.0010602203903987669
1913.0,16591,0.001059964838632476
1920.0,16567,0.0010584315280347315
1918.0,16563,0.0010581759762684408
1903.0,16546,0.001057089881261705
1648.0,16536,0.0010564510018459781
1854.0,16534,0.0010563232259628327
1859.0,16531,0.0010561315621381148
1643.0,16509,0.0010547260274235157
2112.0,16494,0.0010537677082999252
1110.0,16494,0.0010537677082999252
1107.0,16491,0.0010535760444752072
2105.0,16489,0.0010534482685920618
1855.0,16488,0.001053384380650489
2106.0,16482,0.001053001053001053
1911.0,16480,0.0010528732771179076
1852.0,16465,0.0010519149579943173
2055.0,16443,0.0010505094232797182
1642.0,16435,0.0010499983197471367
1906.0,16427,0.0010494872162145551
1917.0,16422,0.0010491677765066918
2110.0,16421,0.001049103888565119
1104.0,16410,0.0010484011212078194
1700.0,16397,0.0010475705779673745
1916.0,16395,0.001047442802084229
2115.0,16383,0.0010466761467853567
1641.0,16373,0.00104603726736963
1856.0,16372,0.0010459733794280573
1638.0,16359,0.0010451428361876124
1637.0,16356,0.0010449511723628943
1838.0,16355,0.0010448872844213216
1655.0,16355,0.0010448872844213216
1850.0,16354,0.0010448233964797488
1106.0,16352,0.0010446956205966034
2104.0,16352,0.0010446956205966034
1919.0,16349,0.0010445039567718855
1853.0,16345,0.0010442484050055946
2107.0,16343,0.0010441206291224494
1857.0,16338,0.0010438011894145858
1849.0,16317,0.0010424595426415594
1620.0,16316,0.0010423956546999867
1625.0,16314,0.0010422678788168413
1921.0,16311,0.0010420762149921233
1635.0,16309,0.001041948439108978
1651.0,16309,0.001041948439108978
2103.0,16308,0.0010418845511674052
1710.0,16298,0.0010412456717516783
2111.0,16292,0.0010408623441022422
1640.0,16282,0.0010402234646865152
1652.0,16274,0.0010397123611539337
1845.0,16274,0.0010397123611539337
1615.0,16274,0.0010397123611539337
1653.0,16272,0.0010395845852707883
1644.0,16257,0.001038626266147198
1629.0,16256,0.0010385623782056255
1111.0,16255,0.0010384984902640528
1847.0,16254,0.00103843460232248
1647.0,16248,0.001038051274673044
1704.0,16247,0.0010379873867314713
1656.0,16245,0.0010378596108483258
1646.0,16242,0.0010376679470236077
2114.0,16239,0.0010374762831988898
2059.0,16238,0.001037412395257317
1901.0,16229,0.0010368374037831628
1654.0,16222,0.001036390188192154
1858.0,16215,0.0010359429726011452
1705.0,16208,0.0010354957570101364
1619.0,16203,0.0010351763173022728
1846.0,16200,0.001034984653477555
1639.0,16191,0.0010344096620034007
1115.0,16189,0.0010342818861202553
1105.0,16176,0.0010334513428798104
1634.0,16176,0.0010334513428798104
2101.0,16173,0.0010332596790550922
1922.0,16173,0.0010332596790550922
2108.0,16172,0.0010331957911135195
1851.0,16164,0.001032684687580938
2102.0,16161,0.00103249302375622
1702.0,16161,0.00103249302375622
1109.0,16160,0.0010324291358146474
1848.0,16157,0.0010322374719899292
1708.0,16156,0.0010321735840483565
1630.0,16150,0.0010317902563989204
1618.0,16150,0.0010317902563989204
1045.0,16140,0.0010311513769831935
1108.0,16135,0.0010308319372753301
1649.0,16135,0.0010308319372753301
1627.0,16131,0.0010305763855090392
2058.0,16126,0.0010302569458011759
1658.0,16120,0.0010298736181517398
1112.0,16120,0.0010298736181517398
1622.0,16119,0.001029809730210167
1614.0,16117,0.0010296819543270217
1636.0,16117,0.0010296819543270217
1617.0,16116,0.001029618066385449
1841.0,16115,0.0010295541784438762
2117.0,16114,0.0010294902905023035
1840.0,16113,0.001029426402560731
2109.0,16110,0.0010292347387360129
1703.0,16109,0.0010291708507944401
1626.0,16099,0.0010285319713787132
1103.0,16097,0.001028404195495568
1624.0,16097,0.001028404195495568
1610.0,16096,0.0010283403075539953
1623.0,16096,0.0010283403075539953
1113.0,16095,0.0010282764196124226
1116.0,16093,0.0010281486437292771
2113.0,16088,0.0010278292040214138
2121.0,16078,0.0010271903246056868
2118.0,16065,0.001026359781365242
1657.0,16060,0.0010260403416573784
1628.0,16060,0.0010260403416573784
1015.0,16059,0.0010259764537158057
1924.0,16056,0.0010257847898910877
1435.0,16054,0.0010256570140079423
1047.0,16054,0.0010256570140079423
1048.0,16053,0.0010255931260663696
1114.0,16047,0.0010252097984169335
2120.0,16038,0.0010246348069427793
1100.0,16038,0.0010246348069427793
1621.0,16037,0.0010245709190012066
1923.0,16037,0.0010245709190012066
1049.0,16031,0.0010241875913517705
1844.0,16030,0.0010241237034101978
1053.0,16020,0.0010234848239944708
1056.0,16020,0.0010234848239944708
1633.0,16013,0.001023037608403462
1412.0,16012,0.0010229737204618893
2119.0,16009,0.0010227820566371714
1054.0,16008,0.0010227181686955987
1925.0,16008,0.0010227181686955987
1843.0,16007,0.001022654280754026
1017.0,16005,0.0010225265048708805
1101.0,16004,0.0010224626169293078
1010.0,16003,0.001022398728987735
1613.0,16002,0.0010223348410461626
2056.0,16001,0.0010222709531045899
1616.0,15998,0.0010220792892798717
1836.0,15997,0.001022015401338299
2053.0,15993,0.0010217598495720084
1057.0,15988,0.0010214404098641448
1400.0,15987,0.001021376521922572
2054.0,15978,0.001020801530448418
2057.0,15965,0.001019970987207973
1016.0,15960,0.0010196515475001096
1706.0,15951,0.0010190765560259554
1050.0,15948,0.0010188848922012372
1415.0,15948,0.0010188848922012372
1707.0,15947,0.0010188210042596647
1011.0,15942,0.0010185015645518011
1632.0,15941,0.0010184376766102284
1119.0,15938,0.0010182460127855105
1429.0,15934,0.0010179904610192196
1008.0,15933,0.001017926573077647
1416.0,15932,0.0010178626851360742
1013.0,15930,0.001017734909252929
2116.0,15928,0.0010176071333697835
1414.0,15919,0.0010170321418956293
1020.0,15915,0.0010167765901293387
1340.0,15908,0.0010163293745383297
1842.0,15892,0.0010153071674731666
2050.0,15885,0.0010148599518821578
1837.0,15880,0.0010145405121742945
1430.0,15879,0.0010144766242327218
1606.0,15876,0.0010142849604080036
