origin_airport_id,frequency,relative_frequency
13930,78217,0.03327679209971338
10397,65253,0.027761362809652596
11292,57153,0.024315283108210732
12892,52241,0.022225512306546232
12266,46173,0.01964393062403398
11433,43928,0.0186888134722146
11298,43244,0.018397811186315064
13487,43207,0.018382069834592427
13303,42800,0.018208914965643436
11618,41148,0.017506084883324675
12478,37504,0.015955774459614287
11057,35573,0.015134246076468082
14771,33314,0.014173172737510408
14747,32069,0.01364349752414064
14100,31885,0.01356521620746591
14107,30805,0.013105738913940328
13204,30174,0.012837285050778623
12889,29597,0.012591805052293195
13244,28455,0.012105950358583738
10721,26489,0.0112695315075918
12264,26426,0.011242728665469473
11697,25945,0.011038091093075209
14869,25645,0.010910458511540325
10299,23924,0.010178272935468542
12953,21619,0.009197629267342184
10551,21365,0.009089567014975982
14730,19863,0.008450553223424664
11278,19515,0.008302499428844198
11193,19405,0.00825570081561474
10821,19175,0.008157849169771329
12339,18919,0.008048936033528228
14057,17616,0.007494585187728383
15304,17400,0.007402689729023266
10693,15528,0.006606262420245591
15016,15161,0.0064501252288345825
16271,15031,0.006394817776836133
14679,14911,0.0063437647442221795
14492,14827,0.006308027621392412
10423,14760,0.0062795230115162875
14122,13622,0.005795370085560628
13198,13441,0.005718365094701248
13495,13232,0.005629447729565279
11042,12619,0.005368651821295666
13796,12593,0.005357590330895976
13232,11951,0.005084456606411325
14683,11598,0.004934275602138612
12173,11043,0.004698155326299076
11630,10796,0.004593071167502022
13342,10143,0.004315257581694425
14831,9973,0.00424293245215799
14843,9933,0.004225914774620006
11066,9920,0.0042203840294201605
11259,9552,0.004063821396070704
14635,9270,0.003943846769427913
12191,8900,0.0037864332522015557
13873,8876,0.003776222645678765
10529,8616,0.0036656077416818656
13891,8388,0.0035686069797153538
14893,8289,0.003526488227808842
11032,7899,0.003360565871813493
13871,7730,0.0032886661842155083
13970,7606,0.0032359113838477563
12451,7534,0.003205279564279384
14761,7519,0.00319889793520264
10792,7119,0.003028721159822795
13252,6759,0.002875562061980934
10140,6714,0.0028564171747507017
16229,6599,0.002807491351828996
14027,6598,0.0028070659098905467
13851,6563,0.00279217544204481
14524,6297,0.0026790078864172132
12972,6023,0.002562436795282019
12523,5933,0.0025241470208215537
13931,5712,0.0024301243524241893
11986,5685,0.0024186374200860497
10994,5684,0.0024182119781476
14112,5535,0.002354821129318608
16217,5379,0.002288452186920468
15370,5361,0.0022807942320283753
15096,5355,0.0022782415803976777
11423,5314,0.0022607984609212435
10800,5201,0.0022127235218764372
11540,5187,0.0022067673347381427
10304,5059,0.002152310766616592
10713,5049,0.002148056347232096
16257,5044,0.002145929137539848
12197,4996,0.0021255079244942667
14307,4971,0.002114871876033026
11995,4805,0.0020442485142503903
14908,4803,0.0020433976303734914
11884,4798,0.0020412704206812433
11874,4729,0.00201191492692822
13485,4728,0.00201148948498977
13061,4649,0.001977879571852251
10257,4639,0.0019736251524677547
14570,4606,0.0019595855684989174
14576,4550,0.001935760819945739
11996,4542,0.0019323572844381423
15412,4486,0.001908532535884964
10466,4422,0.0018813042518241888
15167,4399,0.0018715190872398476
10599,4379,0.0018630102484708552
14832,4332,0.0018430144773637234
10590,4310,0.001833654754717832
15478,4287,0.001823869590133491
10920,4215,0.0017932377705651187
15376,4081,0.0017362285508128706
14685,3984,0.0016949606827832582
16091,3944,0.0016779430052452737
13744,3911,0.0016639034212764365
14293,3908,0.0016626270954610877
11760,3814,0.0016226355532468239
11267,3804,0.0016183811338623278
13830,3717,0.0015813676852172115
12278,3678,0.0015647754496176767
12807,3634,0.0015460560043258937
12277,3597,0.001530314652603258
14262,3585,0.0015252093493418625
13577,3550,0.0015103188814961262
14312,3524,0.0014992573910964362
13605,3489,0.0014843669232506998
11003,3478,0.001479687061927754
13230,3441,0.0014639457102051184
11336,3418,0.0014541605456207772
10245,3402,0.0014473534746055833
12992,3400,0.0014465025907286842
11550,3393,0.001443524497159537
14321,3366,0.0014320375648213973
12016,3364,0.0014311866809444981
11973,3364,0.0014311866809444981
