month,year,carrier,total_gallons
12,2018,27Q,0
1,2019,27Q,0
2,2019,27Q,0
3,2019,27Q,0
4,2019,27Q,0
5,2019,27Q,0
6,2019,27Q,0
7,2019,27Q,0
8,2019,27Q,0
9,2019,27Q,0
1,2018,2HQ,462132
2,2018,2HQ,436099
3,2018,2HQ,314298
4,2018,2HQ,362690
5,2018,2HQ,304165
6,2018,2HQ,462132
7,2018,2HQ,210465
8,2018,2HQ,210291
9,2018,2HQ,162857
10,2018,2HQ,192870
11,2018,2HQ,342974
12,2018,2HQ,297468
1,2019,2HQ,410186
2,2019,2HQ,380855
3,2019,2HQ,380854
4,2019,2HQ,257621
5,2019,2HQ,273216
6,2019,2HQ,168234
7,2019,2HQ,157065
8,2019,2HQ,145383
9,2019,2HQ,148395
10,2018,3EQ,0
11,2018,3EQ,0
12,2018,3EQ,0
1,2019,3EQ,0
2,2019,3EQ,0
3,2019,3EQ,0
4,2019,3EQ,0
5,2019,3EQ,0
6,2019,3EQ,0
7,2019,3EQ,0
8,2019,3EQ,0
9,2019,3EQ,0
1,2015,5V,312227
2,2015,5V,298662
3,2015,5V,388170
4,2015,5V,417446
5,2015,5V,441576
6,2015,5V,441205
7,2015,5V,452761
8,2015,5V,390175
9,2015,5V,413895
10,2015,5V,440269
11,2015,5V,291529
12,2015,5V,295181
1,2016,5V,284362
2,2016,5V,287095
3,2016,5V,368114
4,2016,5V,343885
5,2016,5V,338719
6,2016,5V,398853
7,2016,5V,452311
8,2016,5V,441778
9,2016,5V,387562
10,2016,5V,428555
11,2016,5V,353638
12,2016,5V,363025
1,2017,5V,343787
2,2017,5V,320791
3,2017,5V,428332
4,2017,5V,334666
5,2017,5V,432867
6,2017,5V,503565
7,2017,5V,503327
8,2017,5V,511710
9,2017,5V,409738
10,2017,5V,422285
11,2017,5V,400500
12,2017,5V,347211
1,2018,5V,364447
2,2018,5V,329727
3,2018,5V,384615
4,2018,5V,339627
5,2018,5V,338685
6,2018,5V,426779
7,2018,5V,486124
8,2018,5V,461062
9,2018,5V,406542
10,2018,5V,412738
11,2018,5V,350202
12,2018,5V,337373
1,2019,5V,304851
2,2019,5V,274605
3,2019,5V,375331
4,2019,5V,333350
5,2019,5V,366102
6,2019,5V,355723
7,2019,5V,426753
8,2019,5V,459018
9,2019,5V,361624
1,2015,5X,59698000
2,2015,5X,54195000
3,2015,5X,59868000
4,2015,5X,60672000
5,2015,5X,58414000
6,2015,5X,59915000
7,2015,5X,63273000
8,2015,5X,60452000
9,2015,5X,61582000
10,2015,5X,63717000
11,2015,5X,65155000
12,2015,5X,80599000
1,2016,5X,60969000
2,2016,5X,54502000
3,2016,5X,65027000
4,2016,5X,60333000
5,2016,5X,61474000
6,2016,5X,64673000
7,2016,5X,63265000
8,2016,5X,66765000
9,2016,5X,65210000
10,2016,5X,65187000
11,2016,5X,72390000
12,2016,5X,83152000
1,2017,5X,64379000
2,2017,5X,54747000
3,2017,5X,67790000
4,2017,5X,62534000
5,2017,5X,68074000
6,2017,5X,69020000
7,2017,5X,67243000
8,2017,5X,72573000
9,2017,5X,66789000
10,2017,5X,72089000
11,2017,5X,79298000
12,2017,5X,83469000
1,2018,5X,71950000
2,2018,5X,61297000
3,2018,5X,70495000
4,2018,5X,69009000
5,2018,5X,74638000
6,2018,5X,69783000
7,2018,5X,71875000
8,2018,5X,74861000
9,2018,5X,67869000
10,2018,5X,75678000
11,2018,5X,78441000
12,2018,5X,85172000
1,2019,5X,73210000
2,2019,5X,61612000
3,2019,5X,70216000
4,2019,5X,72821000
5,2019,5X,75695000
6,2019,5X,72535000
7,2019,5X,78211000
8,2019,5X,75375000
9,2019,5X,72747000
1,2015,5Y,25753495
2,2015,5Y,26464766
3,2015,5Y,32395477
4,2015,5Y,31568262
5,2015,5Y,31243883
