sno,statistic,value
1,mean,10.55
2,median,-2.0
3,minimum,-1280.0
4,maximum,2976.0
5,range,4256.0
6,standard deviation,47.81
7,variance,2285.45
9,Q1,-6.0
10,Q3,7.0
11,IQR,13.0
12,skewness,0.79
