fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-04-08,WN,WN,WN,2026,WN,N7855A,2026,14057,PDX,"Portland, OR",14831,SJC,"San Jose, CA",1145,1217,32,7,1224,1403,4,1335,1407,32,0,,0,N,110,110,99,1,569,9,0,0,0,23,,,,
2019-04-08,WN,WN,WN,2027,WN,N7737E,2027,14057,PDX,"Portland, OR",14831,SJC,"San Jose, CA",1915,1955,40,7,2002,2135,4,2055,2139,44,0,,0,N,100,104,93,1,569,6,0,4,0,34,,,,
2019-04-08,WN,WN,WN,4429,WN,N709SW,4429,14057,PDX,"Portland, OR",14831,SJC,"San Jose, CA",2055,2056,1,13,2109,2240,3,2240,2243,3,0,,0,N,105,107,91,1,569,,,,,,,,,
2019-04-08,WN,WN,WN,374,WN,N762SW,374,14057,PDX,"Portland, OR",14893,SMF,"Sacramento, CA",1930,1927,-3,13,1940,2055,6,2100,2101,1,0,,0,N,90,94,75,1,479,,,,,,,,,
2019-04-08,WN,WN,WN,440,WN,N716SW,440,14057,PDX,"Portland, OR",14893,SMF,"Sacramento, CA",1425,1458,33,9,1507,1621,4,1600,1625,25,0,,0,N,95,87,74,1,479,8,0,0,0,17,,,,
2019-04-08,WN,WN,WN,766,WN,N253WN,766,14057,PDX,"Portland, OR",14893,SMF,"Sacramento, CA",1120,1115,-5,7,1122,1236,7,1250,1243,-7,0,,0,N,90,88,74,1,479,,,,,,,,,
2019-04-08,WN,WN,WN,1358,WN,N965WN,1358,14057,PDX,"Portland, OR",14893,SMF,"Sacramento, CA",2255,2248,-7,7,2255,6,4,25,10,-15,0,,0,N,90,82,71,1,479,,,,,,,,,
2019-04-08,WN,WN,WN,2710,WN,N247WN,2710,14057,PDX,"Portland, OR",14893,SMF,"Sacramento, CA",600,559,-1,10,609,721,6,725,727,2,0,,0,N,85,88,72,1,479,,,,,,,,,
2019-04-08,WN,WN,WN,704,WN,N8635F,704,14057,PDX,"Portland, OR",15016,STL,"St. Louis, MO",925,922,-3,7,929,1440,4,1515,1444,-31,0,,0,N,230,202,191,1,1708,,,,,,,,,
2019-04-08,WN,WN,WN,1860,WN,N248WN,1860,14100,PHL,"Philadelphia, PA",10397,ATL,"Atlanta, GA",705,726,21,7,733,924,10,915,934,19,0,,0,N,130,128,111,1,666,19,0,0,0,0,,,,
