fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-12-16,WN,WN,WN,1508,WN,N701GS,1508,13495,MSY,"New Orleans, LA",14492,RDU,"Raleigh/Durham, NC",1545,1552,7,6,1558,1835,5,1845,1840,-5,0,,0,N,120,108,97,1,779,,,,,,,,,
2019-01-19,AA,AA_CODESHARE,AA,3854,MQ,N239NN,3854,11066,CMH,"Columbus, OH",13930,ORD,"Chicago, IL",1139,,,,,,,1205,,,1,C,0,N,86,,,1,296,,,,,,,,,
2019-02-07,AA,AA_CODESHARE,AA,3589,MQ,N671AE,3589,13930,ORD,"Chicago, IL",13290,MHK,"Manhattan/Ft. Riley, KS",1318,1349,31,25,1414,1549,26,1504,1615,71,0,,0,N,106,146,95,1,501,0,0,59,0,12,,,,
2019-03-24,UA,UA_CODESHARE,UA,4674,AX,N31131,4674,11122,CPR,"Casper, WY",11292,DEN,"Denver, CO",1125,1115,-10,7,1122,1205,11,1234,1216,-18,0,,0,N,69,61,43,1,230,,,,,,,,,
2018-09-10,DL,DL,DL,925,DL,N893AT,925,14771,SFO,"San Francisco, CA",14869,SLC,"Salt Lake City, UT",600,558,-2,16,614,835,9,900,844,-16,0,,0,N,120,106,81,1,599,,,,,,,,,
2018-09-08,WN,WN,WN,5986,WN,N435WN,5986,13342,MKE,"Milwaukee, WI",12191,HOU,"Houston, TX",1430,1440,10,16,1456,1740,5,1720,1745,25,0,,0,N,170,185,164,1,1004,10,0,15,0,0,,,,
2018-03-19,NK,NK,NK,684,NK,N673NK,684,14635,RSW,"Fort Myers, FL",11433,DTW,"Detroit, MI",2126,2152,26,12,2204,29,8,24,37,13,0,,0,N,178,165,145,1,1084,,,,,,,,,
2018-01-28,WN,WN,WN,4847,WN,N8645A,4847,10693,BNA,"Nashville, TN",13232,MDW,"Chicago, IL",1120,1124,4,9,1133,1238,4,1250,1242,-8,0,,0,N,90,78,65,1,395,,,,,,,,,
2018-10-06,B6,B6,B6,467,B6,N570JB,467,10397,ATL,"Atlanta, GA",11697,FLL,"Fort Lauderdale, FL",700,708,8,13,721,850,8,845,858,13,0,,0,N,105,110,89,1,581,,,,,,,,,
2019-03-29,AS,AS_CODESHARE,AS,2007,QX,N627QX,2007,10849,BZN,"Bozeman, MT",14057,PDX,"Portland, OR",1800,1755,-5,11,1806,1825,3,1845,1828,-17,0,,0,N,105,93,79,1,554,,,,,,,,,
